timestamp_ms,datetime_utc,open,high,low,close,volume
1773612000000,2026-03-15T22:00:00Z,24308.1,24465.9,24287.9,24457.2,8028
1773615600000,2026-03-15T23:00:00Z,24456.4,24485.9,24400.2,24431.0,10086
1773619200000,2026-03-16T00:00:00Z,24430.6,24515.9,24428.0,24501.2,12722
1773622800000,2026-03-16T01:00:00Z,24501.4,24514.7,24460.6,24506.1,13028
1773626400000,2026-03-16T02:00:00Z,24505.7,24508.7,24465.6,24480.0,11898
1773630000000,2026-03-16T03:00:00Z,24480.2,24530.2,24479.4,24522.5,10032
1773633600000,2026-03-16T04:00:00Z,24522.0,24539.6,24497.2,24497.9,8948
1773637200000,2026-03-16T05:00:00Z,24497.7,24551.7,24497.7,24550.4,10112
1773640800000,2026-03-16T06:00:00Z,24550.6,24556.6,24527.8,24556.0,8876
1773644400000,2026-03-16T07:00:00Z,24555.8,24574.3,24495.8,24504.3,11168
1773648000000,2026-03-16T08:00:00Z,24504.7,24560.3,24488.8,24520.3,13334
1773651600000,2026-03-16T09:00:00Z,24522.3,24526.8,24469.2,24484.0,12860
1773655200000,2026-03-16T10:00:00Z,24483.2,24604.5,24478.8,24595.5,12590
1773658800000,2026-03-16T11:00:00Z,24593.1,24627.0,24567.8,24616.2,12030
1773662400000,2026-03-16T12:00:00Z,24616.8,24679.2,24615.8,24648.5,12672
1773666000000,2026-03-16T13:00:00Z,24649.0,24731.9,24614.5,24726.6,13976
1773669600000,2026-03-16T14:00:00Z,24728.6,24755.2,24612.6,24684.7,14806
1773673200000,2026-03-16T15:00:00Z,24685.1,24729.5,24639.4,24666.6,14328
1773676800000,2026-03-16T16:00:00Z,24666.9,24694.5,24610.4,24665.4,14494
1773680400000,2026-03-16T17:00:00Z,24665.7,24713.1,24643.6,24672.6,14104
1773684000000,2026-03-16T18:00:00Z,24673.1,24725.0,24668.6,24695.4,13522
1773687600000,2026-03-16T19:00:00Z,24695.5,24806.2,24629.1,24660.2,14582
1773691200000,2026-03-16T20:00:00Z,24661.5,24676.0,24637.2,24643.6,9422
1773698400000,2026-03-16T22:00:00Z,24656.4,24656.4,24613.4,24617.7,6866
1773702000000,2026-03-16T23:00:00Z,24617.9,24660.7,24615.8,24659.1,6918
1773705600000,2026-03-17T00:00:00Z,24659.6,24660.2,24584.2,24593.3,12076
1773709200000,2026-03-17T01:00:00Z,24593.9,24627.3,24590.8,24615.3,12162
1773712800000,2026-03-17T02:00:00Z,24615.6,24618.6,24567.2,24572.1,10458
1773716400000,2026-03-17T03:00:00Z,24572.2,24590.8,24561.7,24571.9,9306
1773720000000,2026-03-17T04:00:00Z,24571.3,24628.7,24569.3,24616.9,8950
1773723600000,2026-03-17T05:00:00Z,24616.8,24633.8,24534.9,24536.9,10888
1773727200000,2026-03-17T06:00:00Z,24536.7,24555.7,24511.5,24536.2,11842
1773730800000,2026-03-17T07:00:00Z,24535.2,24597.7,24519.0,24552.3,10946
1773734400000,2026-03-17T08:00:00Z,24552.8,24589.7,24520.7,24549.8,13266
1773738000000,2026-03-17T09:00:00Z,24550.2,24630.2,24550.2,24624.2,12092
1773741600000,2026-03-17T10:00:00Z,24624.0,24624.0,24573.7,24613.4,11386
1773745200000,2026-03-17T11:00:00Z,24613.0,24638.7,24591.4,24592.9,9614
1773748800000,2026-03-17T12:00:00Z,24593.2,24716.3,24592.0,24710.5,10838
1773752400000,2026-03-17T13:00:00Z,24709.9,24888.1,24708.3,24867.3,13626
1773756000000,2026-03-17T14:00:00Z,24870.4,24871.1,24772.6,24850.7,14660
1773759600000,2026-03-17T15:00:00Z,24850.6,24863.4,24728.9,24767.3,14606
1773763200000,2026-03-17T16:00:00Z,24767.9,24802.8,24724.4,24774.1,14468
1773766800000,2026-03-17T17:00:00Z,24773.7,24819.6,24772.3,24811.1,13212
1773770400000,2026-03-17T18:00:00Z,24810.9,24832.9,24766.7,24778.6,12986
1773774000000,2026-03-17T19:00:00Z,24778.7,24801.9,24757.6,24785.3,12420
1773777600000,2026-03-17T20:00:00Z,24783.2,24802.8,24779.4,24799.1,6130
1773784800000,2026-03-17T22:00:00Z,24801.6,24802.7,24767.1,24782.6,5802
1773788400000,2026-03-17T23:00:00Z,24783.1,24800.0,24771.7,24780.3,5960
1773792000000,2026-03-18T00:00:00Z,24780.5,24857.8,24774.2,24855.1,9696
1773795600000,2026-03-18T01:00:00Z,24856.8,24874.2,24856.6,24872.7,9270
1773799200000,2026-03-18T02:00:00Z,24872.6,24905.7,24870.7,24894.3,8126
1773802800000,2026-03-18T03:00:00Z,24894.1,24920.0,24884.0,24912.8,6702
1773806400000,2026-03-18T04:00:00Z,24912.6,24924.3,24907.2,24915.8,6130
1773810000000,2026-03-18T05:00:00Z,24915.7,24946.6,24911.8,24944.8,7216
1773813600000,2026-03-18T06:00:00Z,24944.5,24986.7,24942.6,24958.2,8006
1773817200000,2026-03-18T07:00:00Z,24959.1,24964.1,24935.1,24938.1,7692
1773820800000,2026-03-18T08:00:00Z,24937.7,24961.9,24930.6,24947.9,10588
1773824400000,2026-03-18T09:00:00Z,24947.8,24966.7,24935.2,24945.3,9082
1773828000000,2026-03-18T10:00:00Z,24945.4,24973.8,24935.9,24938.3,8152
1773831600000,2026-03-18T11:00:00Z,24936.8,24952.9,24874.2,24888.4,11672
1773835200000,2026-03-18T12:00:00Z,24888.6,24894.4,24646.9,24657.2,14334
1773838800000,2026-03-18T13:00:00Z,24657.4,24774.2,24640.7,24743.3,14516
1773842400000,2026-03-18T14:00:00Z,24746.6,24760.6,24590.0,24658.8,14702
1773846000000,2026-03-18T15:00:00Z,24659.2,24707.5,24637.0,24675.7,14670
1773849600000,2026-03-18T16:00:00Z,24675.2,24687.0,24607.7,24621.7,14284
1773853200000,2026-03-18T17:00:00Z,24620.2,24660.6,24572.6,24657.0,14000
1773856800000,2026-03-18T18:00:00Z,24657.2,24691.5,24518.1,24519.8,14654
1773860400000,2026-03-18T19:00:00Z,24520.5,24577.5,24418.8,24428.2,14412
1773864000000,2026-03-18T20:00:00Z,24433.3,24453.6,24341.8,24390.1,11752
1773871200000,2026-03-18T22:00:00Z,24405.5,24405.8,24341.9,24372.8,7306
1773874800000,2026-03-18T23:00:00Z,24373.0,24423.0,24371.5,24396.5,7218
1773878400000,2026-03-19T00:00:00Z,24396.3,24422.4,24366.3,24398.3,12228
1773882000000,2026-03-19T01:00:00Z,24398.5,24448.5,24384.5,24418.8,11840
1773885600000,2026-03-19T02:00:00Z,24419.0,24503.0,24380.2,24474.8,11668
1773889200000,2026-03-19T03:00:00Z,24475.8,24493.8,24442.5,24443.3,9336
1773892800000,2026-03-19T04:00:00Z,24443.2,24443.2,24389.5,24408.8,9908
1773896400000,2026-03-19T05:00:00Z,24410.4,24426.7,24355.9,24374.3,11182
1773900000000,2026-03-19T06:00:00Z,24376.5,24417.9,24353.6,24385.0,11434
1773903600000,2026-03-19T07:00:00Z,24386.5,24405.8,24323.4,24335.8,12872
1773907200000,2026-03-19T08:00:00Z,24336.8,24372.3,24285.1,24325.6,14310
1773910800000,2026-03-19T09:00:00Z,24324.9,24428.6,24280.8,24406.9,14430
1773914400000,2026-03-19T10:00:00Z,24406.1,24406.9,24350.9,24370.4,13062
1773918000000,2026-03-19T11:00:00Z,24370.3,24392.3,24288.9,24326.1,13048
1773921600000,2026-03-19T12:00:00Z,24326.5,24335.3,24202.9,24226.0,14476
1773925200000,2026-03-19T13:00:00Z,24225.8,24299.5,24107.5,24280.9,14738
1773928800000,2026-03-19T14:00:00Z,24281.5,24325.3,24187.3,24268.7,14724
1773932400000,2026-03-19T15:00:00Z,24268.3,24356.5,24178.3,24254.5,14754
1773936000000,2026-03-19T16:00:00Z,24254.3,24301.8,24203.2,24233.8,14534
1773939600000,2026-03-19T17:00:00Z,24234.4,24260.4,24157.8,24232.5,14442
1773943200000,2026-03-19T18:00:00Z,24231.7,24302.2,24197.7,24287.2,14352
1773946800000,2026-03-19T19:00:00Z,24288.3,24470.5,24286.3,24357.7,14922
1773950400000,2026-03-19T20:00:00Z,24354.4,24412.2,24343.0,24396.3,10190
1773957600000,2026-03-19T22:00:00Z,24429.6,24438.1,24385.7,24416.6,6794
1773961200000,2026-03-19T23:00:00Z,24416.5,24438.6,24386.0,24400.1,7820
1773964800000,2026-03-20T00:00:00Z,24399.4,24422.5,24363.1,24379.0,10960
1773968400000,2026-03-20T01:00:00Z,24378.4,24440.7,24373.1,24398.4,11884
1773972000000,2026-03-20T02:00:00Z,24400.6,24422.1,24392.2,24401.1,9942
1773975600000,2026-03-20T03:00:00Z,24402.4,24409.0,24378.1,24391.1,8308
1773979200000,2026-03-20T04:00:00Z,24391.4,24403.0,24365.5,24366.5,7210
1773982800000,2026-03-20T05:00:00Z,24362.4,24383.1,24340.1,24373.1,9470
1773986400000,2026-03-20T06:00:00Z,24372.6,24384.6,24300.2,24309.8,9538
1773990000000,2026-03-20T07:00:00Z,24309.0,24387.2,24263.2,24373.8,11320
1773993600000,2026-03-20T08:00:00Z,24374.1,24396.0,24334.5,24339.5,12466
1773997200000,2026-03-20T09:00:00Z,24340.1,24366.0,24189.2,24211.7,13346
