datetime,open,high,low,close,volume
2026-08-19T07:40:00Z,29480.4,29481.2,29463.7,29465.2,209
2026-08-19T07:41:00Z,29465.0,29472.0,29463.5,29466.8,197
2026-08-19T07:42:00Z,29467.0,29467.9,29463.2,29466.6,202
2026-08-19T07:43:00Z,29466.0,29466.7,29460.9,29465.8,167
2026-08-19T07:44:00Z,29466.0,29484.3,29465.0,29484.0,189
2026-08-19T07:45:00Z,29484.2,29494.1,29483.3,29493.6,217
2026-08-19T07:46:00Z,29494.0,29501.3,29483.9,29501.3,199
2026-08-19T07:47:00Z,29500.6,29501.9,29498.0,29499.4,192
2026-08-19T07:48:00Z,29499.5,29501.4,29493.8,29501.4,196
2026-08-19T07:49:00Z,29501.1,29501.1,29493.4,29493.7,183
2026-08-19T07:50:00Z,29494.5,29498.1,29493.0,29496.0,175
2026-08-19T07:51:00Z,29496.2,29496.3,29492.1,29495.5,152
2026-08-19T07:52:00Z,29495.5,29495.5,29484.1,29490.9,197
2026-08-19T07:53:00Z,29490.4,29493.1,29484.4,29484.7,185
2026-08-19T07:54:00Z,29485.1,29493.1,29483.9,29491.7,170
2026-08-19T07:55:00Z,29490.4,29495.2,29488.3,29492.9,168
2026-08-19T07:56:00Z,29493.0,29499.5,29490.7,29498.4,165
2026-08-19T07:57:00Z,29497.9,29517.2,29497.4,29514.4,185
2026-08-19T07:58:00Z,29514.0,29519.8,29513.0,29514.2,193
2026-08-19T07:59:00Z,29514.1,29515.4,29506.4,29514.0,210
2026-08-19T08:00:00Z,29514.3,29522.0,29506.0,29521.3,217
2026-08-19T08:01:00Z,29521.5,29524.4,29511.3,29511.5,225
2026-08-19T08:02:00Z,29511.6,29527.1,29511.0,29523.9,211
2026-08-19T08:03:00Z,29524.1,29537.5,29522.6,29536.9,220
2026-08-19T08:04:00Z,29537.4,29545.9,29534.7,29545.5,211
2026-08-19T08:05:00Z,29545.6,29548.8,29533.8,29546.9,214
2026-08-19T08:06:00Z,29547.6,29549.6,29535.3,29539.7,225
2026-08-19T08:07:00Z,29539.9,29547.9,29539.6,29543.3,222
2026-08-19T08:08:00Z,29542.8,29549.7,29540.8,29547.5,223
2026-08-19T08:09:00Z,29548.4,29549.7,29539.7,29542.2,211
2026-08-19T08:10:00Z,29541.8,29551.3,29540.1,29549.7,218
2026-08-19T08:11:00Z,29550.7,29553.8,29549.0,29552.2,195
2026-08-19T08:12:00Z,29552.0,29552.0,29542.5,29542.5,209
2026-08-19T08:13:00Z,29542.1,29549.7,29539.0,29543.2,198
2026-08-19T08:14:00Z,29544.9,29548.0,29533.7,29537.3,225
2026-08-19T08:15:00Z,29538.9,29540.3,29533.4,29534.5,193
2026-08-19T08:16:00Z,29534.0,29536.6,29521.0,29526.3,207
2026-08-19T08:17:00Z,29526.5,29536.1,29526.2,29533.6,220
2026-08-19T08:18:00Z,29534.5,29541.3,29532.9,29536.2,203
2026-08-19T08:19:00Z,29536.2,29545.4,29534.4,29542.3,207
2026-08-19T08:20:00Z,29542.0,29551.1,29540.2,29546.2,207
2026-08-19T08:21:00Z,29546.6,29547.1,29525.1,29525.2,214
2026-08-19T08:22:00Z,29525.3,29550.4,29524.7,29545.9,214
2026-08-19T08:23:00Z,29546.4,29552.1,29545.7,29549.5,200
2026-08-19T08:24:00Z,29548.1,29550.0,29538.6,29538.6,207
2026-08-19T08:25:00Z,29539.2,29542.8,29534.0,29540.9,202
2026-08-19T08:26:00Z,29540.2,29542.3,29531.8,29532.6,193
2026-08-19T08:27:00Z,29532.2,29537.6,29531.9,29533.4,183
2026-08-19T08:28:00Z,29535.5,29535.5,29526.4,29527.7,199
2026-08-19T08:29:00Z,29527.6,29535.9,29524.1,29535.7,200
2026-08-19T08:30:00Z,29535.6,29535.6,29525.4,29532.2,206
2026-08-19T08:31:00Z,29532.4,29534.3,29526.9,29527.6,192
2026-08-19T08:32:00Z,29527.1,29528.0,29513.7,29515.1,212
2026-08-19T08:33:00Z,29515.6,29527.6,29515.6,29526.4,198
2026-08-19T08:34:00Z,29525.6,29527.9,29520.4,29520.7,200
2026-08-19T08:35:00Z,29521.4,29529.4,29521.2,29527.0,197
2026-08-19T08:36:00Z,29526.8,29528.7,29522.3,29527.6,176
2026-08-19T08:37:00Z,29526.9,29531.2,29525.7,29529.8,195
2026-08-19T08:38:00Z,29530.0,29531.8,29528.3,29530.4,178
2026-08-19T08:39:00Z,29530.9,29532.8,29529.2,29531.0,189
2026-08-19T08:40:00Z,29530.9,29543.1,29530.6,29542.8,186
2026-08-19T08:41:00Z,29542.7,29545.2,29528.2,29529.2,201
2026-08-19T08:42:00Z,29529.1,29532.8,29526.2,29528.9,191
2026-08-19T08:43:00Z,29529.1,29536.4,29528.4,29535.7,187
2026-08-19T08:44:00Z,29535.3,29539.7,29534.4,29539.3,180
2026-08-19T08:45:00Z,29539.3,29541.2,29538.3,29540.6,182
2026-08-19T08:46:00Z,29540.7,29543.1,29539.7,29540.3,192
2026-08-19T08:47:00Z,29540.1,29542.4,29537.6,29541.7,196
2026-08-19T08:48:00Z,29541.1,29546.0,29537.9,29540.0,203
2026-08-19T08:49:00Z,29540.2,29542.3,29538.5,29538.5,165
2026-08-19T08:50:00Z,29539.7,29544.4,29536.2,29541.6,191
2026-08-19T08:51:00Z,29542.0,29542.0,29530.0,29536.1,194
