timestamp,time,open,high,low,close,volume
1688504400000,2023-07-04T21:00:00+00:00,16035.0,16036.8,15901.3,15919.3,53840
1688590800000,2023-07-05T21:00:00+00:00,15912.5,15917.4,15494.0,15539.0,71742
1688677200000,2023-07-06T21:00:00+00:00,15530.3,15699.7,15454.4,15636.3,73884
1688936400000,2023-07-09T21:00:00+00:00,15623.3,15722.3,15546.0,15686.7,67014
1689022800000,2023-07-10T21:00:00+00:00,15683.5,15836.4,15658.3,15826.1,60266
1689109200000,2023-07-11T21:00:00+00:00,15821.9,16044.3,15805.9,16010.8,66632
1689195600000,2023-07-12T21:00:00+00:00,16008.3,16184.8,15993.3,16145.6,52744
1689282000000,2023-07-13T21:00:00+00:00,16144.3,16156.7,16066.8,16074.8,51937
1689541200000,2023-07-16T21:00:00+00:00,16058.5,16110.2,15994.0,16070.8,51524
1689627600000,2023-07-17T21:00:00+00:00,16073.5,16155.6,16027.4,16130.9,50961
1689714000000,2023-07-18T21:00:00+00:00,16129.2,16241.1,16073.2,16110.5,66760
1689800400000,2023-07-19T21:00:00+00:00,16098.5,16229.4,16045.2,16136.8,65918
1689886800000,2023-07-20T21:00:00+00:00,16134.0,16189.2,16102.0,16172.4,57802
1690146000000,2023-07-23T21:00:00+00:00,16176.1,16211.6,16114.4,16189.2,60008
1690232400000,2023-07-24T21:00:00+00:00,16184.8,16243.7,16133.8,16230.2,59012
1690318800000,2023-07-25T21:00:00+00:00,16228.0,16243.5,15998.2,16121.7,88566
1690405200000,2023-07-26T21:00:00+00:00,16135.2,16446.6,16122.1,16340.1,80804
1690491600000,2023-07-27T21:00:00+00:00,16339.2,16490.8,16314.0,16469.0,73846
1690750800000,2023-07-30T21:00:00+00:00,16474.6,16531.4,16424.1,16466.1,57822
1690837200000,2023-07-31T21:00:00+00:00,16465.1,16476.4,16223.6,16241.3,59552
1690923600000,2023-08-01T21:00:00+00:00,16172.8,16223.3,15949.6,15981.2,92238
1691010000000,2023-08-02T21:00:00+00:00,15982.6,16045.5,15806.1,15904.6,97392
1691096400000,2023-08-03T21:00:00+00:00,15906.3,15979.3,15779.4,15821.8,88244
1691355600000,2023-08-06T21:00:00+00:00,15852.0,15994.2,15824.3,15989.8,70260
1691442000000,2023-08-07T21:00:00+00:00,15992.4,15994.6,15704.9,15826.6,85764
1691528400000,2023-08-08T21:00:00+00:00,15829.6,15983.9,15823.1,15894.9,74500
1691614800000,2023-08-09T21:00:00+00:00,15899.4,16062.0,15874.8,15945.5,101589
1691701200000,2023-08-10T21:00:00+00:00,15944.8,15972.2,15799.5,15847.6,80977
1691960400000,2023-08-13T21:00:00+00:00,15875.3,15940.6,15753.6,15919.2,81454
1692046800000,2023-08-14T21:00:00+00:00,15917.5,15958.9,15700.7,15731.1,86072
1692133200000,2023-08-15T21:00:00+00:00,15733.0,15816.3,15668.4,15716.7,85592
1692219600000,2023-08-16T21:00:00+00:00,15720.8,15794.9,15592.4,15600.5,87386
1692306000000,2023-08-17T21:00:00+00:00,15610.1,15661.6,15467.5,15581.5,96196
1692565200000,2023-08-20T21:00:00+00:00,15585.1,15711.4,15563.0,15639.5,75032
1692651600000,2023-08-21T21:00:00+00:00,15640.9,15798.0,15620.2,15688.7,73347
1692738000000,2023-08-22T21:00:00+00:00,15694.2,15823.4,15670.1,15791.2,76940
1692824400000,2023-08-23T21:00:00+00:00,15779.4,15895.2,15535.4,15553.3,91567
1692910800000,2023-08-24T21:00:00+00:00,15563.2,15740.1,15555.0,15681.2,89978
1693170000000,2023-08-27T21:00:00+00:00,15708.6,15824.4,15671.6,15816.9,66818
1693256400000,2023-08-28T21:00:00+00:00,15817.4,15973.7,15787.7,15968.4,73324
