direction,entry_dt,exit_dt,entry_px,sl_px,tp_px,sl_dist,stake,result,pnl,account,entry_dt_parsed
long,2025-12-18T19:00:00Z,2025-12-18T20:00:00Z,25097.5,25071.5,25149.5,26.0,3.8461538461538463,loss,-100.0,9900.0,2025-12-18 19:00:00+00:00
long,2025-12-19T18:00:00Z,2025-12-22T12:00:00Z,25338.2,25259.4,25495.8,78.79999999999927,1.2690355329949357,win,200.0,10100.0,2025-12-19 18:00:00+00:00
long,2025-12-23T19:00:00Z,2025-12-24T13:00:00Z,25544.2,25517.4,25597.8,26.799999999999272,3.731343283582191,win,200.0,10300.0,2025-12-23 19:00:00+00:00
long,2026-01-05T19:00:00Z,2026-01-06T08:00:00Z,25419.7,25358.7,25541.7,61.0,1.639344262295082,loss,-100.0,10200.0,2026-01-05 19:00:00+00:00
long,2026-01-06T17:00:00Z,2026-01-06T19:00:00Z,25504.4,25444.4,25624.4,60.0,1.6666666666666667,win,200.0,10400.0,2026-01-06 17:00:00+00:00
long,2026-01-07T20:00:00Z,2026-01-07T21:00:00Z,25715.9,25698.6,25750.500000000007,17.30000000000291,5.780346820808276,loss,-100.0,10300.0,2026-01-07 20:00:00+00:00
long,2026-01-09T19:00:00Z,2026-01-12T00:00:00Z,25780.6,25696.1,25949.6,84.5,1.183431952662722,loss,-100.0,10200.0,2026-01-09 19:00:00+00:00
short,2026-01-14T20:00:00Z,2026-01-14T21:00:00Z,25333.1,25370.9,25257.499999999993,37.80000000000291,2.6455026455024417,loss,-100.0,10100.0,2026-01-14 20:00:00+00:00
short,2026-01-16T17:00:00Z,2026-01-18T23:00:00Z,25555.4,25595.9,25474.4,40.5,2.4691358024691357,win,200.0,10300.0,2026-01-16 17:00:00+00:00
long,2026-01-21T18:00:00Z,2026-01-21T19:00:00Z,25097.8,24992.9,25307.599999999995,104.89999999999782,0.9532888465205156,win,200.0,10500.0,2026-01-21 18:00:00+00:00
long,2026-01-23T19:00:00Z,2026-01-23T21:00:00Z,25585.8,25545.0,25667.399999999998,40.79999999999927,2.4509803921569064,loss,-100.0,10400.0,2026-01-23 19:00:00+00:00
short,2026-01-28T19:00:00Z,2026-01-28T20:00:00Z,26041.5,26060.1,26004.300000000003,18.599999999998545,5.376344086021926,loss,-100.0,10300.0,2026-01-28 19:00:00+00:00
short,2026-02-11T18:00:00Z,2026-02-11T19:00:00Z,25177.4,25241.9,25048.4,64.5,1.550387596899225,loss,-100.0,10200.0,2026-02-11 18:00:00+00:00
short,2026-03-18T17:00:00Z,2026-03-18T19:00:00Z,24620.2,24692.0,24476.600000000002,71.79999999999927,1.392757660167145,win,200.0,10400.0,2026-03-18 17:00:00+00:00
long,2026-04-17T19:00:00Z,2026-04-19T22:00:00Z,26640.7,26604.9,26712.3,35.79999999999927,2.7932960893855316,loss,-100.0,10300.0,2026-04-17 19:00:00+00:00
short,2026-04-21T18:00:00Z,2026-04-21T19:00:00Z,26566.9,26630.4,26439.9,63.5,1.5748031496062993,loss,-100.0,10200.0,2026-04-21 18:00:00+00:00
