month,trades,wins,losses,usd
2023-07,15,6,9,-164.7
2023-08,20,10,10,914.5
2023-09,13,8,5,1027.3
2023-10,17,3,14,-607.6
2023-11,13,8,5,851.4
2023-12,17,6,11,-537.3
2024-01,18,5,13,-670.7
2024-02,16,4,12,-416.3
2024-03,16,6,10,403.3
2024-04,16,4,12,-324.2
2024-05,18,8,10,587.4
2024-06,18,4,14,-594.8
2024-07,23,6,17,199.4
2024-08,18,6,12,229.1
2024-09,20,6,14,426.0
2024-10,20,6,14,64.8
2024-11,17,9,8,849.1
2024-12,18,6,12,308.7
2025-01,16,7,9,881.8
2025-02,17,8,9,928.2
2025-03,18,6,12,600.0
2025-04,18,4,14,-200.0
2025-05,15,5,10,276.3
2025-06,17,6,11,139.3
2025-07,20,9,11,990.3
2025-08,20,9,11,782.4
2025-09,17,5,12,-237.9
2025-10,22,9,13,920.4
2025-11,16,4,12,-176.7
2025-12,21,11,10,941.9
2026-01,18,7,11,1000.0
2026-02,14,5,9,600.0
2026-03,6,1,5,-200.0
2026-04,14,4,10,72.0
2026-05,17,5,12,-124.0
2026-06,12,7,5,1600.0
2026-07,2,2,0,330.7
