year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,28,53,34.6,2,7,894.6,8.95,894.6,100894.6
2024,152,45,107,29.6,7,12,2667.4,26.67,3562.0,103562.0
2025,147,49,98,33.3,3,12,3918.2,39.18,7480.2,107480.2
2026,18,10,8,55.6,6,3,1819.2,18.19,9299.4,109299.4
