date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow,dt,usd,year,month,week,week_start
2023-07-28,LONG,2023-07-28 10:00:00-04:00,15722.0,15682.0,15842.0,40,120.0,SL,15682.0,-40.0,-1.0,5,25,-41.6,3.7,144.1,2214,1.367,1.003,1.409,2206.8,4,2023-07-28,-100.0,2023,2023-07,2023-W30,2023-07-24
2023-08-01,SHORT,2023-08-01 10:15:00-04:00,15646.4,15686.4,15526.4,40,120.0,SL,15686.4,-40.0,-1.0,3,15,-61.3,8.9,101.5,2132,1.353,0.995,1.069,2141.7,1,2023-08-01,-100.0,2023,2023-08,2023-W31,2023-07-31
2023-08-02,SHORT,2023-08-02 10:05:00-04:00,15461.7,15501.7,15341.7,40,120.0,TP,15341.7,120.0,3.0,23,115,-11.9,124.3,127.7,2156,1.31,0.963,1.192,2238.3,2,2023-08-02,300.0,2023,2023-08,2023-W31,2023-07-31
2023-08-07,SHORT,2023-08-07 10:00:00-04:00,15306.1,15346.1,15186.1,40,120.0,SL,15346.1,-40.0,-1.0,3,15,-42.3,9.3,72.0,2238,1.624,0.978,1.419,2288.3,0,2023-08-07,-100.0,2023,2023-08,2023-W32,2023-08-07
2023-08-08,SHORT,2023-08-08 10:00:00-04:00,15221.9,15261.9,15101.9,40,120.0,SL,15261.9,-40.0,-1.0,59,295,-46.4,76.6,124.1,2190,1.521,0.985,1.438,2222.7,1,2023-08-08,-100.0,2023,2023-08,2023-W32,2023-08-07
2023-08-09,SHORT,2023-08-09 10:00:00-04:00,15214.8,15254.8,15094.8,40,120.0,TP,15094.8,120.0,3.0,15,75,-10.7,129.5,74.7,2014,1.453,0.928,1.203,2171.3,2,2023-08-09,300.0,2023,2023-08,2023-W32,2023-08-07
2023-08-15,SHORT,2023-08-15 10:05:00-04:00,15068.4,15108.4,14948.4,40,120.0,SL,15108.4,-40.0,-1.0,11,55,-40.8,24.7,178.4,2202,1.265,0.993,1.125,2218.3,1,2023-08-15,-100.0,2023,2023-08,2023-W33,2023-08-14
2023-08-17,SHORT,2023-08-17 10:10:00-04:00,14843.8,14883.8,14723.8,40,120.0,SL,14883.8,-40.0,-1.0,27,135,-42.2,45.9,96.1,2104,1.314,0.947,1.01,2221.3,3,2023-08-17,-100.0,2023,2023-08,2023-W33,2023-08-14
2023-08-21,LONG,2023-08-21 10:00:00-04:00,14859.1,14819.1,14979.1,40,120.0,SL,14819.1,-40.0,-1.0,4,20,-55.2,16.6,137.2,2072,1.521,0.941,1.265,2203.0,0,2023-08-21,-100.0,2023,2023-08,2023-W34,2023-08-21
2023-08-23,LONG,2023-08-23 10:00:00-04:00,15042.4,15002.4,15162.4,40,120.0,TP,15162.4,120.0,3.0,39,195,-11.0,123.0,122.5,2146,1.44,0.964,1.332,2225.0,2,2023-08-23,300.0,2023,2023-08,2023-W34,2023-08-21
