month,trades,wins,losses,usd
2023-07,15,6,9,-108.65
2023-08,20,10,10,912.2
2023-09,13,8,5,792.59
2023-10,17,3,14,-752.99
2023-11,13,8,5,804.29
2023-12,17,6,11,-582.69
2024-01,18,5,13,-669.86
2024-02,16,4,12,-493.42
2024-03,16,6,10,160.58
2024-04,16,4,12,-466.92
2024-05,18,8,10,554.64
2024-06,18,4,14,-742.86
2024-07,23,6,17,-82.41
2024-08,18,7,11,331.04
2024-09,20,7,13,422.6
2024-10,20,7,13,199.0
2024-11,17,9,8,817.21
2024-12,18,6,12,60.64
2025-01,16,7,9,771.98
2025-02,17,9,8,982.81
2025-03,18,7,11,601.94
2025-04,18,4,14,-448.06
2025-05,15,5,10,209.95
2025-06,17,6,11,66.31
2025-07,20,9,11,636.9
2025-08,20,9,11,618.3
2025-09,17,5,12,-354.09
2025-10,22,10,12,1241.26
2025-11,16,5,11,-19.42
2025-12,21,11,10,841.83
2026-01,18,7,11,601.94
2026-02,14,6,8,662.62
2026-03,6,1,5,-266.02
2026-04,14,4,10,-37.38
2026-05,17,5,12,-65.39
2026-06,12,7,5,1217.96
2026-07,2,2,0,275.36
