year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1064.75,10.65,1064.75,101064.75
2024,218,73,145,33.5,5,8,90.24,0.91,1154.99,101154.99
2025,217,87,130,40.1,4,7,5149.71,51.5,6304.7,106304.7
2026,83,32,51,38.6,3,9,2389.09,23.89,8693.79,108693.79
