month,trades,wins,losses,usd
2023-07,14,3,11,-251.5
2023-08,14,5,9,676.3
2023-09,11,3,8,-229.05
2023-10,10,4,6,252.6
2023-11,15,5,10,-76.05
2023-12,17,8,9,218.55
2024-01,10,3,7,98.2
2024-02,13,2,11,-557.95
2024-03,11,3,8,208.75
2024-04,8,2,6,70.0
2024-05,10,4,6,400.2
2024-06,9,3,6,274.25
2024-07,21,7,14,650.95
2024-08,14,3,11,-102.5
2024-09,13,3,10,90.25
2024-10,16,4,12,140.0
2024-11,14,5,9,741.4
2024-12,13,5,8,83.85
2025-01,11,3,8,248.25
2025-02,18,4,14,-313.3
2025-03,13,4,9,218.25
2025-04,10,4,6,762.5
2025-05,9,5,4,1151.25
2025-06,14,3,11,-679.7
2025-07,14,5,9,66.4
2025-08,13,7,6,1011.35
2025-09,12,6,6,750.8
2025-10,12,4,8,438.7
2025-11,9,1,8,-392.55
2025-12,12,3,9,105.0
2026-01,11,7,4,1127.95
2026-02,4,3,1,935.0
2026-04,1,0,1,-103.75
2026-05,2,0,2,-207.5
