year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,28,53,34.6,2,7,590.85,5.91,590.85,100590.85
2024,152,44,108,28.9,4,12,2097.4,20.97,2688.25,102688.25
2025,147,49,98,33.3,3,12,3366.95,33.67,6055.2,106055.2
2026,18,10,8,55.6,6,3,1751.7,17.52,7806.9,107806.9
