year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,35.8,2,6,-369.35,-3.69,-369.35,99630.65
2024,152,57,95,37.5,4,9,1125.4,11.25,756.05,100756.05
2025,147,56,91,38.1,5,8,583.95,5.84,1340.0,101340.0
2026,18,11,7,61.1,6,2,1285.5,12.86,2625.5,102625.5
