year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1312.1,13.12,1312.1,101312.1
2024,218,68,150,31.2,5,9,518.2,5.18,1830.3,101830.3
2025,217,80,137,36.9,4,8,5591.2,55.91,7421.5,107421.5
2026,83,30,53,36.1,3,9,2713.2,27.13,10134.7,110134.7
