year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1058.45,10.59,1058.45,101058.45
2024,218,68,150,31.2,5,9,-63.86,-0.63,994.59,100994.59
2025,217,80,137,36.9,4,8,5011.81,50.13,6006.4,106006.4
2026,83,30,53,36.1,3,9,2491.59,24.92,8497.99,108497.99
