week,week_start,trades,wins,losses,usd
2024-W18,2024-04-29,4,1,3,-110.68
2024-W19,2024-05-06,5,2,3,86.65
2024-W20,2024-05-13,3,2,1,178.79
2024-W21,2024-05-20,4,1,3,-110.68
2024-W22,2024-05-27,4,2,2,63.62
2024-W23,2024-06-03,4,1,3,-110.68
2024-W24,2024-06-10,4,0,4,-410.68
2024-W25,2024-06-17,5,2,3,-183.25
2024-W26,2024-06-24,5,1,4,-138.25
2024-W27,2024-07-01,5,1,4,-34.35
2024-W28,2024-07-08,5,1,4,-213.35
2024-W29,2024-07-15,5,2,3,86.65
2024-W30,2024-07-22,5,1,4,-213.35
2024-W31,2024-07-29,5,3,2,386.65
2024-W32,2024-08-05,4,2,2,189.32
2024-W33,2024-08-12,3,1,2,-95.31
2024-W34,2024-08-19,5,2,3,3.05
2024-W35,2024-08-26,4,0,4,-410.68
2024-W36,2024-09-02,5,2,3,112.65
2024-W37,2024-09-09,5,4,1,686.65
2024-W38,2024-09-16,5,0,5,-513.35
2024-W39,2024-09-23,4,2,2,189.32
2024-W40,2024-09-30,4,1,3,-110.68
2024-W41,2024-10-07,4,1,3,-110.68
2024-W42,2024-10-14,4,2,2,189.32
2024-W43,2024-10-21,5,2,3,86.65
2024-W44,2024-10-28,5,3,2,239.05
2024-W45,2024-11-04,2,2,0,394.66
2024-W46,2024-11-11,4,3,1,316.92
2024-W47,2024-11-18,5,2,3,86.65
2024-W48,2024-11-25,5,2,3,-60.05
2024-W49,2024-12-02,3,0,3,-259.71
2024-W50,2024-12-09,5,2,3,6.65
2024-W51,2024-12-16,4,1,3,-110.68
2024-W52,2024-12-23,4,3,1,489.32
2025-W01,2024-12-30,4,2,2,189.32
2025-W02,2025-01-06,4,0,4,-410.68
2025-W03,2025-01-13,2,1,1,94.66
2025-W04,2025-01-20,3,2,1,291.99
2025-W05,2025-01-27,5,3,2,386.65
2025-W06,2025-02-03,5,4,1,686.65
2025-W07,2025-02-10,3,2,1,213.09
2025-W08,2025-02-17,4,2,2,221.32
2025-W09,2025-02-24,5,2,3,86.65
2025-W10,2025-03-03,4,2,2,189.32
2025-W11,2025-03-10,4,1,3,-110.68
2025-W12,2025-03-17,5,3,2,386.65
2025-W13,2025-03-24,4,1,3,-110.68
2025-W14,2025-03-31,4,1,3,-110.68
2025-W15,2025-04-07,4,1,3,-110.68
2025-W16,2025-04-14,3,0,3,-308.01
2025-W17,2025-04-21,5,3,2,386.65
2025-W18,2025-04-28,3,0,3,-308.01
2025-W19,2025-05-05,4,3,1,489.32
2025-W20,2025-05-12,2,0,2,-205.34
2025-W21,2025-05-19,4,2,2,189.32
2025-W22,2025-05-26,5,1,4,-213.35
2025-W23,2025-06-02,4,1,3,-110.68
2025-W24,2025-06-09,4,1,3,-148.98
2025-W25,2025-06-16,4,2,2,39.32
