month,trades,wins,losses,usd
2023-07,15,6,9,-164.7
2023-08,20,10,10,709.4
2023-09,13,8,5,860.9
2023-10,17,3,14,-507.6
2023-11,13,8,5,951.4
2023-12,17,6,11,-537.3
2024-01,18,5,13,-670.7
2024-02,16,4,12,-578.2
2024-03,16,6,10,592.0
2024-04,16,4,12,-224.2
2024-05,18,8,10,737.4
2024-06,18,4,14,-494.8
2024-07,23,6,17,118.0
2024-08,18,6,12,145.1
2024-09,20,5,15,44.8
2024-10,20,6,14,-161.3
2024-11,17,8,9,549.1
2024-12,18,6,12,461.0
2025-01,16,7,9,1131.8
2025-02,17,8,9,1178.2
2025-03,18,5,13,450.0
2025-04,18,4,14,0.0
2025-05,15,4,11,-574.9
2025-06,17,5,12,-160.7
2025-07,20,9,11,1153.9
2025-08,20,9,11,932.4
2025-09,17,5,12,-285.5
2025-10,22,9,13,952.3
2025-11,16,4,12,-328.2
2025-12,21,11,10,1141.9
2026-01,18,6,12,20.3
2026-02,14,5,9,850.0
2026-03,6,1,5,-150.0
2026-04,14,4,10,-34.5
2026-05,17,5,12,-24.0
2026-06,12,7,5,1670.7
2026-07,2,2,0,380.7
