year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,43,52,45.3,6,7,1202.25,12.03,1202.25,101202.25
2024,218,77,141,35.3,5,8,-935.66,-9.35,266.59,100266.59
2025,217,94,123,43.3,4,7,4739.01,47.4,5005.6,105005.6
2026,83,34,49,41.0,3,6,1555.79,15.56,6561.39,106561.39
