year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1229.95,12.3,1229.95,101229.95
2024,218,70,148,32.1,5,8,479.74,4.8,1709.69,101709.69
2025,217,83,134,38.2,4,7,5266.61,52.67,6976.3,106976.3
2026,83,31,52,37.3,3,9,3057.09,30.57,10033.39,110033.39
