month,trades,wins,losses,usd
2023-07,14,3,11,-500.0
2023-08,14,5,9,100.0
2023-09,11,3,8,-200.0
2023-10,10,4,6,200.0
2023-11,15,5,10,-280.3
2023-12,17,9,8,614.7
2024-01,10,5,5,435.7
2024-02,13,3,10,-359.2
2024-03,11,3,8,-200.0
2024-04,8,4,4,400.0
2024-05,10,5,5,403.2
2024-06,9,3,6,0.0
2024-07,21,9,12,429.7
2024-08,14,4,10,-200.0
2024-09,13,4,9,-11.0
2024-10,16,4,12,-400.0
2024-11,14,8,6,802.7
2024-12,13,6,7,394.3
2025-01,11,4,7,100.0
2025-02,18,5,13,-395.8
2025-03,13,4,9,-100.0
2025-04,10,4,6,200.0
2025-05,9,6,3,900.0
2025-06,14,3,11,-681.5
2025-07,14,5,9,-188.8
2025-08,13,8,5,939.3
2025-09,12,6,6,362.0
2025-10,12,5,7,300.0
2025-11,9,3,6,0.0
2025-12,12,3,9,-300.0
2026-01,11,7,4,853.0
2026-02,4,3,1,500.0
2026-04,1,0,1,-100.0
2026-05,2,1,1,100.0
