year,trades,wins,losses,breakeven,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,0,35.8,2,6,1018.5,10.18,1018.5,101018.5
2024,152,47,105,0,30.9,7,12,1976.1,19.76,2994.6,102994.6
2025,147,52,95,0,35.4,5,8,3469.3,34.69,6463.9,106463.9
2026,18,11,7,0,61.1,6,2,2059.2,20.59,8523.1,108523.1
