year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,35.8,2,6,561.45,5.61,561.45,100561.45
2024,152,51,101,33.6,4,10,1507.4,15.07,2068.85,102068.85
2025,147,53,94,36.1,5,8,1652.75,16.53,3721.6,103721.6
2026,18,11,7,61.1,6,2,1541.7,15.42,5263.3,105263.3
