month,trades,wins,losses,usd
2023-07,15,6,9,-204.75
2023-08,20,10,10,861.1
2023-09,13,8,5,992.59
2023-10,17,3,14,-652.99
2023-11,13,8,5,816.69
2023-12,17,6,11,-582.69
2024-01,18,5,13,-718.76
2024-02,16,4,12,-459.02
2024-03,16,6,10,360.58
2024-04,16,4,12,-366.92
2024-05,18,8,10,539.34
2024-06,18,4,14,-642.86
2024-07,23,6,17,137.99
2024-08,18,6,12,181.04
2024-09,20,6,14,372.6
2024-10,20,6,14,11.4
2024-11,17,9,8,803.71
2024-12,18,6,12,260.64
2025-01,16,7,9,839.08
2025-02,17,8,9,882.81
2025-03,18,6,12,551.94
2025-04,18,4,14,-248.06
2025-05,15,5,10,236.25
2025-06,17,6,11,93.91
2025-07,20,9,11,936.9
2025-08,20,9,11,729.0
2025-09,17,5,12,-283.29
2025-10,22,9,13,861.66
2025-11,16,4,12,-219.42
2025-12,21,11,10,885.83
2026-01,18,7,11,951.94
2026-02,14,5,9,562.62
2026-03,6,1,5,-216.02
2026-04,14,4,10,34.62
2026-05,17,5,12,-169.39
2026-06,12,7,5,1567.96
2026-07,2,2,0,325.36
