year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,35.8,2,6,714.75,7.15,714.75,100714.75
2024,152,46,106,30.3,4,12,1406.1,14.06,2120.85,102120.85
2025,147,52,95,35.4,5,8,2918.05,29.18,5038.9,105038.9
2026,18,11,7,61.1,6,2,1991.7,19.92,7030.6,107030.6
