year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1483.6,14.84,1483.6,101483.6
2024,218,70,148,32.1,5,8,1061.8,10.62,2545.4,102545.4
2025,217,83,134,38.2,4,7,5846.0,58.46,8391.4,108391.4
2026,83,31,52,37.3,3,9,3278.7,32.79,11670.1,111670.1
