month,trades,wins,losses,usd
2023-07,14,3,11,-402.5
2023-08,14,5,9,297.5
2023-09,11,3,8,-136.25
2023-10,10,4,6,362.5
2023-11,15,5,10,-186.55
2023-12,17,9,8,626.75
2024-01,10,4,6,248.2
2024-02,13,3,10,-307.95
2024-03,11,3,8,-91.25
2024-04,8,2,6,-130.0
2024-05,10,4,6,215.7
2024-06,9,3,6,116.25
2024-07,21,9,12,750.95
2024-08,14,3,11,-402.5
2024-09,13,4,9,140.25
2024-10,16,4,12,-260.0
2024-11,14,7,7,1100.2
2024-12,13,5,8,127.55
2025-01,11,3,8,-51.75
2025-02,18,4,14,-613.3
2025-03,13,4,9,-81.75
2025-04,10,4,6,362.5
2025-05,9,6,3,1166.25
2025-06,14,3,11,-779.7
2025-07,14,5,9,-91.3
2025-08,13,8,5,1148.55
2025-09,12,6,6,517.0
2025-10,12,5,7,505.0
2025-11,9,2,7,-233.75
2025-12,12,3,9,-195.0
2026-01,11,7,4,867.95
2026-02,4,3,1,635.0
2026-04,1,0,1,-103.75
2026-05,2,1,1,142.5
