year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,35.8,2,6,-65.6,-0.66,-65.6,99934.4
2024,152,58,94,38.2,7,9,1695.4,16.95,1629.8,101629.8
2025,147,56,91,38.1,5,8,1135.2,11.35,2765.0,102765.0
2026,18,11,7,61.1,6,2,1353.0,13.53,4118.0,104118.0
