month,trades,wins,losses,usd
2023-07,14,3,11,-350.0
2023-08,14,5,9,350.0
2023-09,11,3,8,-95.0
2023-10,10,4,6,400.0
2023-11,15,5,10,-130.3
2023-12,17,9,8,690.5
2024-01,10,4,6,285.7
2024-02,13,3,10,-259.2
2024-03,11,3,8,-50.0
2024-04,8,2,6,-100.0
2024-05,10,4,6,253.2
2024-06,9,3,6,150.0
2024-07,21,9,12,829.7
2024-08,14,3,11,-350.0
2024-09,13,4,9,189.0
2024-10,16,4,12,-200.0
2024-11,14,8,6,1152.7
2024-12,13,5,8,176.3
2025-01,11,3,8,-10.5
2025-02,18,4,14,-545.8
2025-03,13,4,9,-33.0
2025-04,10,4,6,400.0
2025-05,9,6,3,1200.0
2025-06,14,3,11,-727.2
2025-07,14,5,9,-38.8
2025-08,13,8,5,1197.3
2025-09,12,6,6,562.0
2025-10,12,5,7,550.0
2025-11,9,2,7,-200.0
2025-12,12,3,9,-150.0
2026-01,11,7,4,909.2
2026-02,4,3,1,650.0
2026-04,1,0,1,-100.0
2026-05,2,1,1,150.0
