year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,81,29,52,35.8,2,6,865.2,8.65,865.2,100865.2
2024,152,52,100,34.2,7,10,2077.4,20.77,2942.6,102942.6
2025,147,53,94,36.1,5,8,2204.0,22.04,5146.6,105146.6
2026,18,11,7,61.1,6,2,1609.2,16.09,6755.8,106755.8
