month,trades,wins,losses,usd
2023-07,14,3,11,-199.0
2023-08,14,5,9,728.8
2023-09,11,3,8,-187.8
2023-10,10,4,6,290.1
2023-11,15,5,10,-19.8
2023-12,17,8,9,282.3
2024-01,10,3,7,135.7
2024-02,13,2,11,-509.2
2024-03,11,3,8,250.0
2024-04,8,2,6,100.0
2024-05,10,4,6,437.7
2024-06,9,3,6,308.0
2024-07,21,7,14,729.7
2024-08,14,3,11,-50.0
2024-09,13,3,10,139.0
2024-10,16,4,12,200.0
2024-11,14,6,8,793.9
2024-12,13,5,8,132.6
2025-01,11,3,8,289.5
2025-02,18,4,14,-245.8
2025-03,13,4,9,267.0
2025-04,10,4,6,800.0
2025-05,9,5,4,1185.0
2025-06,14,3,11,-627.2
2025-07,14,5,9,118.9
2025-08,13,7,6,1060.1
2025-09,12,6,6,795.8
2025-10,12,4,8,483.7
2025-11,9,1,8,-358.8
2025-12,12,3,9,150.0
2026-01,11,7,4,1169.2
2026-02,4,3,1,950.0
2026-04,1,0,1,-100.0
2026-05,2,0,2,-200.0
