month,trades,wins,losses,usd
2023-07,15,6,9,-68.6
2023-08,20,10,10,965.6
2023-09,13,8,5,827.3
2023-10,17,3,14,-707.6
2023-11,13,8,5,839.0
2023-12,17,6,11,-537.3
2024-01,18,5,13,-621.8
2024-02,16,4,12,-450.7
2024-03,16,6,10,203.3
2024-04,16,4,12,-424.2
2024-05,18,8,10,602.7
2024-06,18,4,14,-694.8
2024-07,23,6,17,-21.0
2024-08,18,7,11,379.1
2024-09,20,7,13,476.0
2024-10,20,7,13,252.4
2024-11,17,9,8,862.6
2024-12,18,6,12,108.7
2025-01,16,7,9,814.7
2025-02,17,9,8,1028.2
2025-03,18,7,11,650.0
2025-04,18,4,14,-400.0
2025-05,15,5,10,250.0
2025-06,17,6,11,111.7
2025-07,20,9,11,690.3
2025-08,20,9,11,671.7
2025-09,17,5,12,-308.7
2025-10,22,10,12,1300.0
2025-11,16,5,11,23.3
2025-12,21,11,10,897.9
2026-01,18,7,11,650.0
2026-02,14,6,8,700.0
2026-03,6,1,5,-250.0
2026-04,14,4,10,0.0
2026-05,17,5,12,-20.0
2026-06,12,7,5,1250.0
2026-07,2,2,0,280.7
