month,trades,wins,losses,usd
2023-07,14,3,11,-252.5
2023-08,14,5,9,547.5
2023-09,11,3,8,-279.05
2023-10,10,4,6,187.3
2023-11,15,5,10,-176.05
2023-12,17,9,8,687.55
2024-01,10,3,7,-1.8
2024-02,13,2,11,-607.95
2024-03,11,3,8,58.75
2024-04,8,2,6,-30.0
2024-05,10,4,6,300.2
2024-06,9,3,6,174.25
2024-07,21,8,13,750.95
2024-08,14,3,11,-252.5
2024-09,13,3,10,-59.75
2024-10,16,4,12,-60.0
2024-11,14,6,8,941.4
2024-12,13,5,8,192.55
2025-01,11,3,8,98.25
2025-02,18,4,14,-463.3
2025-03,13,4,9,68.25
2025-04,10,4,6,562.5
2025-05,9,6,3,1351.25
2025-06,14,3,11,-729.7
2025-07,14,5,9,58.7
2025-08,13,8,5,1261.35
2025-09,12,6,6,600.8
2025-10,12,4,8,288.7
2025-11,9,2,7,-133.75
2025-12,12,3,9,-45.0
2026-01,11,7,4,1117.95
2026-02,4,3,1,785.0
2026-04,1,0,1,-103.75
2026-05,2,1,1,192.5
