year,trades,wins,losses,win_pct,longest_win_streak,longest_loss_streak,usd,total_R,cum_usd,account_end
2023,95,41,54,43.2,6,7,1318.4,13.18,1318.4,101318.4
2024,218,73,145,33.5,5,8,672.3,6.72,1990.7,101990.7
2025,217,87,130,40.1,4,7,5729.1,57.29,7719.8,107719.8
2026,83,32,51,38.6,3,9,2610.7,26.11,10330.5,110330.5
