month,trades,wins,losses,usd
2023-07,15,6,9,-204.75
2023-08,20,10,10,656.0
2023-09,13,8,5,826.19
2023-10,17,3,14,-552.99
2023-11,13,8,5,916.69
2023-12,17,6,11,-582.69
2024-01,18,5,13,-718.76
2024-02,16,4,12,-620.92
2024-03,16,6,10,549.28
2024-04,16,4,12,-266.92
2024-05,18,8,10,689.34
2024-06,18,4,14,-542.86
2024-07,23,6,17,56.59
2024-08,18,6,12,97.04
2024-09,20,5,15,-8.6
2024-10,20,6,14,-214.7
2024-11,17,8,9,503.71
2024-12,18,6,12,412.94
2025-01,16,7,9,1089.08
2025-02,17,8,9,1132.81
2025-03,18,5,13,401.94
2025-04,18,4,14,-48.06
2025-05,15,4,11,-614.95
2025-06,17,5,12,-206.09
2025-07,20,9,11,1100.5
2025-08,20,9,11,879.0
2025-09,17,5,12,-330.89
2025-10,22,9,13,893.56
2025-11,16,4,12,-370.92
2025-12,21,11,10,1085.83
2026-01,18,6,12,-27.76
2026-02,14,5,9,812.62
2026-03,6,1,5,-166.02
2026-04,14,4,10,-71.88
2026-05,17,5,12,-69.39
2026-06,12,7,5,1638.66
2026-07,2,2,0,375.36
