exit_time,direction,entry_price,exit_price,exit_type,pnl_r,pnl_gbp
2023-03-06 10:20:00+00:00,long,15622.3,15618.1,REVERSION,-0.1175,-11.75
2023-03-14 09:35:00+00:00,long,15013.7,15032.545527538301,TP1,0.1146,11.45
2023-03-14 09:45:00+00:00,long,15013.7,15020.7,REVERSION,0.0426,4.25
2023-03-16 15:10:00+00:00,long,14884.3,14913.174138254122,TP1,0.126,12.6
2023-03-16 15:40:00+00:00,long,14884.3,14979.83268503318,TP2,0.4169,41.7
2023-03-27 09:10:00+00:00,long,15108.3,15087.2,REVERSION,-0.4158,-41.82
2023-03-27 09:25:00+00:00,long,15104.1,15115.55662258864,TP1,0.1147,11.49
2023-03-27 09:35:00+00:00,long,15104.1,15104.1,SL,0.0,0.0
2023-04-11 07:10:00+00:00,long,15717.1,15719.382943748982,TP1,0.0517,5.19
2023-04-11 07:15:00+00:00,long,15717.1,15717.1,SL,0.0,0.0
2023-04-14 09:50:00+00:00,long,15789.3,15791.522031940569,TP1,0.0428,4.3
2023-04-14 10:00:00+00:00,long,15789.3,15789.3,SL,0.0,0.0
2023-04-21 07:20:00+00:00,short,15787.2,15784.924665816807,TP1,0.0562,5.64
2023-04-21 07:25:00+00:00,short,15787.2,15779.27035448946,TP2,0.1957,19.64
