score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.192495,2.246933,4.393146,0.5875,0.009787,499.074305,80,2.5,12,13,26,1.0,2,30.0
6.150988,2.14165,4.395858,0.55102,0.014283,243.122426,49,2.5,18,13,25,1.0,3,50.0
6.150988,2.14165,4.395858,0.55102,0.014283,243.122426,49,2.5,18,13,25,1.0,4,50.0
6.150988,2.14165,4.395858,0.55102,0.014283,243.122426,49,2.5,18,13,26,1.0,3,50.0
6.150988,2.14165,4.395858,0.55102,0.014283,243.122426,49,2.5,18,13,26,1.0,4,50.0
6.135225,2.1937,4.267977,0.580247,0.009787,489.361999,81,2.5,12,13,26,1.0,3,30.0
6.135225,2.1937,4.267977,0.580247,0.009787,489.361999,81,2.5,12,13,26,1.0,4,30.0
6.036913,2.032108,4.143408,0.55102,0.015854,208.687618,49,2.5,18,13,19,1.0,3,50.0
6.036913,2.032108,4.143408,0.55102,0.015854,208.687618,49,2.5,18,13,19,1.0,4,50.0
6.028683,2.044761,4.104983,0.543478,0.014337,214.863715,46,2.5,18,13,25,1.0,2,50.0
6.028683,2.044761,4.104983,0.543478,0.014337,214.863715,46,2.5,18,13,26,1.0,2,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,20,1.0,3,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,20,1.0,4,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,21,1.0,3,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,21,1.0,4,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,22,1.0,3,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,22,1.0,4,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,23,1.0,3,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,23,1.0,4,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,24,1.0,3,50.0
5.986117,1.996193,4.021499,0.54,0.016407,198.142984,50,2.5,18,13,24,1.0,4,50.0
5.912671,1.937044,3.843945,0.543478,0.015914,183.268125,46,2.5,18,13,19,1.0,2,50.0
5.86138,1.901803,3.719872,0.531915,0.016469,173.592917,47,2.5,18,13,20,1.0,2,50.0
5.86138,1.901803,3.719872,0.531915,0.016469,173.592917,47,2.5,18,13,21,1.0,2,50.0
5.86138,1.901803,3.719872,0.531915,0.016469,173.592917,47,2.5,18,13,22,1.0,2,50.0
5.86138,1.901803,3.719872,0.531915,0.016469,173.592917,47,2.5,18,13,23,1.0,2,50.0
5.86138,1.901803,3.719872,0.531915,0.016469,173.592917,47,2.5,18,13,24,1.0,2,50.0
