score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.351823,2.271578,4.87291,0.632653,0.008613,374.962099,49,2.5,12,7,19,1.0,2,50.0
6.096623,2.178381,4.153548,0.5875,0.010913,423.825322,80,2.5,18,13,25,1.0,2,30.0
6.073705,2.175722,4.076387,0.595238,0.015244,341.209271,84,2.5,18,13,24,1.0,2,30.0
6.024603,2.110332,3.994957,0.583333,0.015814,499.312067,132,2.0,12,13,25,1.0,2,30.0
6.004649,2.000953,4.037719,0.62,0.008637,326.312517,50,2.5,12,7,18,1.0,2,50.0
5.985345,2.039169,3.957098,0.56338,0.010994,325.384914,71,2.5,12,7,19,1.0,2,30.0
5.983673,2.062348,3.916487,0.579365,0.015982,478.138257,126,2.0,14,13,25,1.0,2,30.0
5.933935,1.93583,3.893865,0.588235,0.009425,380.746175,51,2.0,12,13,24,0.5,2,30.0
5.916176,2.004131,3.746284,0.605634,0.017168,224.804126,71,2.5,14,13,25,1.0,2,30.0
5.888529,2.015328,3.670547,0.546667,0.008705,451.594152,75,2.5,12,7,24,1.0,2,30.0
5.873432,1.983705,3.640976,0.578947,0.019373,390.209061,133,2.0,12,13,24,1.0,2,30.0
5.830782,1.947519,3.529133,0.60274,0.018779,206.860699,73,2.5,14,13,24,1.0,2,30.0
5.828598,1.935287,3.55009,0.574803,0.019695,369.72081,127,2.0,14,13,24,1.0,2,30.0
5.821268,1.940222,3.514537,0.585526,0.016326,549.470916,152,2.0,12,13,24,1.0,3,30.0
5.818856,1.923771,3.523,0.590909,0.020052,242.501907,88,2.5,18,13,24,1.0,3,30.0
5.818856,1.923771,3.523,0.590909,0.020052,242.501907,88,2.5,18,13,24,1.0,4,30.0
5.816824,1.928114,3.51714,0.578947,0.015914,453.937545,133,2.0,12,13,26,1.0,2,30.0
5.816446,1.831463,3.620239,0.595745,0.009461,336.973437,47,2.0,12,13,23,0.5,2,30.0
5.807954,1.846673,3.577944,0.588235,0.014798,306.634151,51,1.5,12,13,24,0.5,2,30.0
5.803147,1.914067,3.48729,0.580247,0.012514,326.289592,81,2.5,18,13,26,1.0,2,30.0
5.798335,1.910525,3.474409,0.582192,0.016592,527.981946,146,2.0,14,13,24,1.0,3,30.0
5.795601,1.911976,3.463031,0.583333,0.017069,266.624659,84,2.5,18,13,21,1.0,2,30.0
5.795601,1.911976,3.463031,0.583333,0.017069,266.624659,84,2.5,18,13,22,1.0,2,30.0
5.795601,1.911976,3.463031,0.583333,0.017069,266.624659,84,2.5,18,13,23,1.0,2,30.0
5.789573,1.903777,3.450836,0.586667,0.016008,538.502541,150,2.0,12,13,25,1.0,3,30.0
5.779115,1.886929,3.441565,0.574803,0.016083,433.565735,127,2.0,14,13,26,1.0,2,30.0
5.778103,1.813273,3.522053,0.578947,0.010988,333.741995,57,2.0,12,13,24,0.5,3,30.0
5.772131,1.882347,3.423154,0.575758,0.019493,351.428258,132,2.0,10,13,25,1.0,2,30.0
5.767792,1.875772,3.412571,0.583333,0.015898,529.49416,144,2.0,14,13,25,1.0,3,30.0
5.764913,1.807857,3.485415,0.576923,0.009579,339.275857,52,2.0,10,13,24,0.5,2,30.0
5.751065,1.856039,3.400076,0.542857,0.011841,253.160606,70,2.5,12,7,20,1.0,2,30.0
5.743335,1.851475,3.373284,0.555556,0.011024,287.185001,72,2.5,12,7,18,1.0,2,30.0
5.736397,1.780409,3.410845,0.6,0.008613,230.126393,45,2.5,12,7,20,1.0,2,50.0
5.732524,1.888891,3.292963,0.556818,0.015159,262.394786,88,2.5,10,13,24,1.0,2,30.0
5.721454,1.774765,3.3637,0.607843,0.010977,229.439796,51,2.5,12,7,19,1.0,3,50.0
5.721454,1.774765,3.3637,0.607843,0.010977,229.439796,51,2.5,12,7,19,1.0,4,50.0
5.714329,1.837708,3.282438,0.576,0.016343,424.752719,125,2.0,16,13,25,1.0,2,30.0
5.698613,1.812407,3.252698,0.589744,0.014331,284.908358,78,2.5,18,13,19,1.0,2,30.0
5.691776,1.747113,3.303084,0.595745,0.014874,269.194051,47,1.5,12,13,23,0.5,2,30.0
5.688175,1.824697,3.213253,0.57037,0.022368,308.314481,135,2.0,12,13,23,1.0,2,30.0
5.682621,1.815572,3.197886,0.585366,0.020005,207.274101,82,2.5,18,13,20,1.0,2,30.0
5.678748,1.801567,3.202332,0.583333,0.014483,278.052729,84,2.5,18,13,25,1.0,3,30.0
5.678748,1.801567,3.202332,0.583333,0.014483,278.052729,84,2.5,18,13,25,1.0,4,30.0
5.674827,1.797872,3.192135,0.586207,0.020084,221.899912,87,2.5,18,13,20,1.0,3,30.0
5.672355,1.812979,3.170415,0.577922,0.018464,449.921568,154,2.0,12,13,23,1.0,3,30.0
5.671632,1.724524,3.267707,0.584906,0.010988,297.322418,53,2.0,12,13,23,0.5,3,30.0
5.652512,1.773301,3.143469,0.592105,0.014358,270.67899,76,2.5,18,13,18,1.0,2,30.0
5.648669,1.771047,3.156008,0.546667,0.009795,304.789375,75,2.5,12,7,22,1.0,2,30.0
5.647468,1.784306,3.122708,0.574324,0.018761,430.926159,148,2.0,14,13,23,1.0,3,30.0
5.645917,1.78581,3.117231,0.571429,0.025829,253.179219,133,2.0,10,13,24,1.0,2,30.0
