exit_time,direction,entry_price,exit_price,exit_type,pnl_r,pnl_gbp
2024-05-07 07:40:00+00:00,long,18242.0,18236.1,REVERSION,-0.2085,-20.85
2024-05-07 08:20:00+00:00,long,18234.7,18248.753816992517,TP1,0.2743,27.37
2024-05-07 08:45:00+00:00,long,18234.7,18264.737176905885,TP2,0.5863,58.5
2024-05-08 14:35:00+00:00,long,18492.0,18474.4,REVERSION,-0.7372,-74.2
2024-05-08 14:55:00+00:00,long,18491.2,18480.2,REVERSION,-0.4523,-45.19
2024-05-14 09:00:00+00:00,short,18703.3,18698.848485548035,TP1,0.1341,13.33
2024-05-14 09:05:00+00:00,short,18703.3,18703.3,SL,0.0,0.0
2024-05-14 13:10:00+00:00,short,18694.7,18708.5,REVERSION,-0.4509,-44.9
2024-05-17 08:00:00+00:00,short,18677.6,18673.03574131205,TP1,0.083,8.23
2024-05-17 08:05:00+00:00,short,18677.6,18661.206178747347,TP2,0.2983,29.57
2024-05-20 08:35:00+00:00,long,18760.8,18754.6,REVERSION,-0.2745,-27.32
2024-05-20 09:00:00+00:00,long,18758.6,18752.5,REVERSION,-0.272,-27.0
2024-05-23 10:45:00+00:00,long,18723.2,18734.78840696213,TP1,0.243,24.05
2024-05-23 10:50:00+00:00,long,18723.2,18723.2,SL,0.0,0.0
2024-05-28 07:40:00+00:00,long,18810.6,18819.48224495562,TP1,0.1619,16.06
2024-05-28 07:50:00+00:00,long,18810.6,18810.6,SL,0.0,0.0
2024-05-29 07:35:00+00:00,short,18613.7,18610.47978681664,TP1,0.0478,4.75
2024-05-29 07:40:00+00:00,short,18613.7,18593.200886374598,TP2,0.3045,30.26
2024-05-29 08:40:00+00:00,short,18595.4,18603.0,REVERSION,-0.1923,-19.18
2024-05-31 07:30:00+00:00,short,18468.6,18458.56230135833,TP1,0.2038,20.29
2024-05-31 07:35:00+00:00,short,18468.6,18444.247888881855,TP2,0.4945,49.22
2024-05-31 07:50:00+00:00,short,18463.1,18456.505319480733,TP1,0.1176,11.78
2024-05-31 07:55:00+00:00,short,18463.1,18463.1,SL,0.0,0.0
2024-06-03 09:10:00+00:00,long,18659.2,18647.3,REVERSION,-0.3162,-31.73
2024-06-03 10:30:00+00:00,long,18650.9,18645.7,REVERSION,-0.1653,-16.53
2024-06-04 08:05:00+00:00,short,18530.8,18522.985754101086,TP1,0.1204,12.03
2024-06-04 08:10:00+00:00,short,18530.8,18499.32445139764,TP2,0.4851,48.45
2024-06-05 08:10:00+00:00,long,18520.2,18513.2,REVERSION,-0.2439,-24.5
2024-06-05 09:10:00+00:00,long,18513.0,18503.6,REVERSION,-0.3536,-35.44
2024-06-10 08:30:00+00:00,short,18429.2,18422.360032949204,TP1,0.0739,7.38
2024-06-10 08:35:00+00:00,short,18429.2,18429.2,SL,0.0,0.0
2024-06-10 13:50:00+00:00,short,18424.2,18434.5,REVERSION,-0.3723,-37.21
2024-06-11 07:40:00+00:00,long,18525.7,18531.979020124756,TP1,0.1239,12.33
2024-06-11 07:45:00+00:00,long,18525.7,18525.7,SL,0.0,0.0
2024-06-18 10:50:00+00:00,long,18151.8,18140.8,REVERSION,-0.3488,-34.78
2024-06-19 08:20:00+00:00,short,18109.3,18100.410874624562,TP1,0.138,13.71
2024-06-19 08:40:00+00:00,short,18109.3,18080.992165004038,TP2,0.4394,43.66
2024-06-19 13:00:00+00:00,short,18091.8,18094.7,REVERSION,-0.133,-13.29
2024-06-20 09:10:00+00:00,long,18162.9,18175.99001637051,TP1,0.1876,18.72
2024-06-20 09:15:00+00:00,long,18162.9,18162.9,SL,0.0,0.0
2024-06-25 12:25:00+00:00,short,18133.8,18144.0,REVERSION,-0.4197,-41.96
2024-06-25 14:05:00+00:00,short,18132.1,18134.7,REVERSION,-0.0921,-9.17
2024-06-27 12:35:00+00:00,long,18190.1,18207.807301646844,TP1,0.3655,36.35
2024-06-27 12:40:00+00:00,long,18190.1,18193.6,REVERSION,0.0722,7.19
2024-07-01 07:20:00+00:00,long,18420.4,18379.9,REVERSION,-0.9251,-92.42
2024-07-01 14:10:00+00:00,long,18341.8,18316.249556349907,SL,-1.0,-98.98
