score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.526308,2.664452,5.85152,0.625,0.00936,439.386545,40,2.5,18,11,22,0.5,2,30.0
6.526308,2.664452,5.85152,0.625,0.00936,439.386545,40,2.5,18,11,22,0.5,3,30.0
6.526308,2.664452,5.85152,0.625,0.00936,439.386545,40,2.5,18,11,22,0.5,4,30.0
6.468288,2.509394,5.534793,0.6,0.00936,419.016792,40,2.5,18,12,21,0.5,2,30.0
6.468288,2.509394,5.534793,0.6,0.00936,419.016792,40,2.5,18,12,21,0.5,3,30.0
6.468288,2.509394,5.534793,0.6,0.00936,419.016792,40,2.5,18,12,21,0.5,4,30.0
6.341135,2.242858,4.882239,0.609756,0.009403,387.989614,41,2.5,18,11,23,0.5,2,30.0
6.341135,2.242858,4.882239,0.609756,0.009403,387.989614,41,2.5,18,11,23,0.5,3,30.0
6.341135,2.242858,4.882239,0.609756,0.009403,387.989614,41,2.5,18,11,23,0.5,4,30.0
6.206514,2.108385,4.583942,0.622642,0.016787,417.793266,53,1.5,10,8,26,0.5,2,30.0
6.149255,2.067282,4.441035,0.622642,0.013485,383.077799,53,2.0,10,8,26,0.5,2,30.0
6.045419,1.964285,4.215076,0.622642,0.01728,379.166805,53,1.5,14,8,26,0.5,2,30.0
6.034789,1.969789,4.180619,0.607843,0.01705,365.077566,51,1.5,12,8,26,0.5,2,30.0
6.032911,1.948171,4.192185,0.622642,0.017788,368.332846,53,1.5,16,8,26,0.5,2,30.0
6.027193,1.951829,4.168857,0.622642,0.01306,373.794998,53,2.0,14,8,26,0.5,2,30.0
6.026926,1.94411,4.17697,0.622642,0.013442,364.755834,53,2.0,16,8,26,0.5,2,30.0
6.008673,1.964223,4.109341,0.589286,0.01673,399.111035,56,1.5,10,9,26,0.5,2,30.0
5.999399,1.945397,4.091112,0.607843,0.01315,350.417109,51,2.0,12,8,26,0.5,2,30.0
5.984946,1.935462,4.06215,0.592593,0.017203,376.551721,54,1.5,10,9,25,0.5,2,30.0
5.971956,1.911444,4.036151,0.614035,0.019618,339.133037,57,1.5,10,8,26,0.5,3,30.0
5.971956,1.911444,4.036151,0.614035,0.019618,339.133037,57,1.5,10,8,26,0.5,4,30.0
5.965983,1.949116,3.98764,0.583333,0.016006,416.532707,60,1.5,10,11,19,0.5,2,30.0
5.965983,1.949116,3.98764,0.583333,0.016006,416.532707,60,1.5,10,11,20,0.5,2,30.0
5.958063,1.929174,3.981532,0.589286,0.01345,365.305566,56,2.0,10,9,26,0.5,2,30.0
5.947566,1.931557,3.928405,0.62,0.017866,243.842855,50,2.0,10,8,19,0.5,2,30.0
5.942705,1.926689,3.917881,0.62,0.022491,257.570288,50,1.5,10,8,19,0.5,2,30.0
5.934224,1.900926,3.93337,0.592593,0.01347,353.6794,54,2.0,10,9,25,0.5,2,30.0
5.923075,1.879058,3.910999,0.614035,0.015636,313.08598,57,2.0,10,8,26,0.5,3,30.0
5.923075,1.879058,3.910999,0.614035,0.015636,313.08598,57,2.0,10,8,26,0.5,4,30.0
5.922421,1.875963,3.91756,0.603774,0.016787,369.270465,53,1.5,10,8,25,0.5,2,30.0
5.916682,1.91482,3.863316,0.583333,0.012902,380.233075,60,2.0,10,11,19,0.5,2,30.0
5.916682,1.91482,3.863316,0.583333,0.012902,380.233075,60,2.0,10,11,20,0.5,2,30.0
5.902353,1.896045,3.837457,0.583333,0.017931,360.852443,60,1.5,10,11,18,0.5,2,30.0
5.897782,1.865165,3.839916,0.62,0.017411,244.60332,50,2.0,16,8,19,0.5,2,30.0
5.892495,1.940973,3.727392,0.632911,0.017437,309.235024,79,2.5,18,11,19,1.0,4,30.0
5.892495,1.940973,3.727392,0.632911,0.017437,309.235024,79,2.5,18,11,20,1.0,4,30.0
5.879855,1.91155,3.716042,0.64,0.017465,299.079097,75,2.5,18,10,21,1.0,4,30.0
5.878715,1.851837,3.807264,0.589286,0.017214,364.49765,56,1.5,14,9,26,0.5,2,30.0
5.875803,1.856497,3.776764,0.62,0.017373,241.195351,50,2.0,14,8,19,0.5,2,30.0
5.872754,1.843194,3.790232,0.603774,0.013485,337.774196,53,2.0,10,8,25,0.5,2,30.0
5.871526,1.861091,3.775481,0.583333,0.016372,392.521806,60,1.5,14,11,19,0.5,2,30.0
5.871526,1.861091,3.775481,0.583333,0.016372,392.521806,60,1.5,14,11,20,0.5,2,30.0
5.869543,1.871928,3.764562,0.566667,0.016006,395.133364,60,1.5,10,12,18,0.5,2,30.0
5.862411,1.840998,3.765564,0.589286,0.013021,358.888113,56,2.0,14,9,26,0.5,2,30.0
5.855548,1.85034,3.734763,0.583333,0.012387,386.484335,60,2.0,14,11,19,0.5,2,30.0
5.855548,1.85034,3.734763,0.583333,0.012387,386.484335,60,2.0,14,11,20,0.5,2,30.0
5.855338,1.841529,3.747876,0.576271,0.016841,378.193488,59,1.5,16,11,19,0.5,2,30.0
5.855338,1.841529,3.747876,0.576271,0.016841,378.193488,59,1.5,16,11,20,0.5,2,30.0
5.854715,1.863576,3.716547,0.583333,0.014354,331.511308,60,2.0,10,11,18,0.5,2,30.0
5.854535,1.862671,3.71059,0.596154,0.017895,239.886143,52,2.0,10,9,18,0.5,2,30.0
5.854259,1.845421,3.740834,0.574074,0.016988,348.407029,54,1.5,12,9,26,0.5,2,30.0
5.851404,1.823012,3.748204,0.592593,0.017249,351.440688,54,1.5,14,9,25,0.5,2,30.0
5.850078,1.838023,3.734429,0.576271,0.012739,374.136605,59,2.0,16,11,19,0.5,2,30.0
5.850078,1.838023,3.734429,0.576271,0.012739,374.136605,59,2.0,16,11,20,0.5,2,30.0
5.849971,1.858259,3.700526,0.596154,0.022539,253.246922,52,1.5,10,9,18,0.5,2,30.0
5.846089,1.835099,3.7176,0.590164,0.016498,389.547605,61,1.5,10,10,21,0.5,3,30.0
5.846089,1.835099,3.7176,0.590164,0.016498,389.547605,61,1.5,10,10,21,0.5,4,30.0
5.839645,1.817583,3.720726,0.581818,0.017747,344.246485,55,1.5,16,9,26,0.5,2,30.0
5.835073,1.812342,3.706216,0.592593,0.013042,346.1211,54,2.0,14,9,25,0.5,2,30.0
5.834302,1.814079,3.707006,0.581818,0.013419,340.656819,55,2.0,16,9,26,0.5,2,30.0
5.833634,1.832329,3.663074,0.622642,0.017785,242.426554,53,2.0,10,8,19,0.5,3,30.0
5.833634,1.832329,3.663074,0.622642,0.017785,242.426554,53,2.0,10,8,19,0.5,4,30.0
5.833026,1.844916,3.673201,0.568966,0.016197,370.350322,58,1.5,12,11,19,0.5,2,30.0
5.833026,1.844916,3.673201,0.568966,0.016197,370.350322,58,1.5,12,11,20,0.5,2,30.0
5.829209,1.82816,3.653189,0.622642,0.022356,256.446343,53,1.5,10,8,19,0.5,3,30.0
5.829209,1.82816,3.653189,0.622642,0.022356,256.446343,53,1.5,10,8,19,0.5,4,30.0
5.82671,1.81607,3.681822,0.576923,0.01715,333.133896,52,1.5,12,9,25,0.5,2,30.0
5.822837,1.824448,3.660564,0.574074,0.013114,333.889862,54,2.0,12,9,26,0.5,2,30.0
5.822496,1.813203,3.649582,0.62,0.022918,239.562911,50,1.5,16,8,19,0.5,2,30.0
5.822221,1.840013,3.644054,0.566667,0.012903,360.325774,60,2.0,10,12,18,0.5,2,30.0
5.81877,1.818439,3.652593,0.576923,0.017341,327.123332,52,1.5,10,9,22,0.5,2,30.0
5.817645,1.815863,3.630309,0.62,0.022589,240.871133,50,1.5,14,8,19,0.5,2,30.0
5.816912,1.832096,3.634443,0.568966,0.017954,334.3825,58,1.5,10,11,21,0.5,2,30.0
5.814677,1.826339,3.61611,0.604167,0.017605,219.383376,48,2.0,12,8,19,0.5,2,30.0
5.813434,1.793651,3.652187,0.6,0.019834,295.960394,55,1.5,12,8,26,0.5,3,30.0
5.813434,1.793651,3.652187,0.6,0.019834,295.960394,55,1.5,12,8,26,0.5,4,30.0
