score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.912862,1.979944,3.766272,0.6,0.007782,436.220071,55,2.5,10,11,23,1.0,2,50.0
5.778291,1.863404,3.459024,0.589286,0.009861,322.277574,56,2.5,10,11,23,1.0,3,50.0
5.62016,1.726479,3.089698,0.59322,0.015503,200.411718,59,2.5,10,11,25,1.0,2,50.0
5.62016,1.726479,3.089698,0.59322,0.015503,200.411718,59,2.5,10,11,26,1.0,2,50.0
5.564383,1.681036,2.94983,0.607143,0.010572,281.685204,56,2.5,10,11,19,1.0,2,50.0
5.5541,1.697805,2.902949,0.59322,0.013052,216.463266,59,2.5,10,13,22,1.0,2,50.0
5.5541,1.697805,2.902949,0.59322,0.013052,216.463266,59,2.5,10,13,23,1.0,2,50.0
5.5541,1.697805,2.902949,0.59322,0.013052,216.463266,59,2.5,10,13,24,1.0,2,50.0
5.511126,1.67789,2.784906,0.589286,0.010563,242.846451,56,2.5,10,13,20,1.0,2,50.0
5.511126,1.67789,2.784906,0.589286,0.010563,242.846451,56,2.5,10,13,21,1.0,2,50.0
5.510724,1.643238,2.82697,0.583333,0.017571,164.488968,60,2.5,10,11,25,1.0,3,50.0
5.510724,1.643238,2.82697,0.583333,0.017571,164.488968,60,2.5,10,11,26,1.0,3,50.0
5.507833,1.666037,2.786105,0.592593,0.009165,274.955612,54,2.5,10,13,19,1.0,2,50.0
5.506673,1.6677,2.781951,0.589286,0.009165,255.075871,56,2.5,10,13,25,1.0,2,50.0
5.49206,1.647321,2.757015,0.589286,0.008289,325.139659,56,2.5,10,11,22,1.0,2,50.0
5.486855,1.635185,2.758994,0.578947,0.01479,180.129708,57,2.5,10,11,23,1.0,4,50.0
5.483357,1.641543,2.729388,0.6,0.013087,317.328334,90,2.5,10,13,24,1.0,2,30.0
5.478231,1.653158,2.707844,0.581818,0.009165,269.638836,55,2.5,10,12,21,1.0,2,50.0
5.47407,1.637465,2.703191,0.6,0.009305,416.339014,85,2.5,10,13,19,1.0,2,30.0
5.457453,1.598504,2.683731,0.619048,0.012999,304.790492,84,2.5,10,11,19,1.0,2,30.0
5.457145,1.601679,2.690281,0.596491,0.010572,261.192157,57,2.5,10,11,19,1.0,3,50.0
