exit_time,direction,entry_price,exit_price,exit_type,pnl_r,pnl_gbp
2022-01-06 09:20:00+00:00,long,16086.8,16100.534594921708,TP1,0.0972,9.72
2022-01-06 09:30:00+00:00,long,16086.8,16086.8,SL,0.0,0.0
2022-01-07 08:25:00+00:00,short,16008.5,16000.918126989243,TP1,0.0868,8.69
2022-01-07 08:30:00+00:00,short,16008.5,15977.327435941283,TP2,0.3568,35.71
2022-01-11 09:00:00+00:00,long,15914.9,15915.030265592422,TP1,0.0011,0.11
2022-01-11 09:05:00+00:00,long,15914.9,15937.29512898981,TP2,0.1893,19.03
2022-01-12 14:40:00+00:00,long,16012.9,16007.2,REVERSION,-0.137,-13.8
2022-01-13 08:25:00+00:00,short,15969.7,15988.2,REVERSION,-0.5943,-59.79
2022-01-13 09:30:00+00:00,short,15976.9,15991.7,REVERSION,-0.4228,-42.28
2022-01-21 10:40:00+00:00,short,15686.5,15703.6,REVERSION,-0.3809,-37.93
2022-01-25 11:40:00+00:00,short,15127.0,15096.704673069373,TP1,0.2113,20.96
2022-01-25 12:15:00+00:00,short,15127.0,15102.0,REVERSION,0.1744,17.3
2022-01-31 16:15:00+00:00,long,15455.0,15449.2,REVERSION,-0.0943,-9.39
2022-02-02 10:50:00+00:00,long,15696.7,15688.4,REVERSION,-0.2237,-22.26
2022-02-03 09:30:00+00:00,short,15560.2,15556.723344869042,TP1,0.042,4.17
2022-02-03 09:35:00+00:00,short,15560.2,15545.513713633374,TP2,0.1775,17.62
2022-02-10 11:55:00+00:00,long,15528.7,15532.1,REVERSION,0.1084,10.79
2022-02-10 15:25:00+00:00,long,15531.4,15553.93899610416,TP1,0.1905,18.97
2022-02-10 15:50:00+00:00,long,15531.4,15531.4,SL,0.0,0.0
2022-02-11 09:30:00+00:00,short,15346.6,15327.349607093429,TP1,0.1508,15.04
2022-02-11 09:55:00+00:00,short,15346.6,15346.6,SL,0.0,0.0
2022-02-16 09:00:00+00:00,long,15474.2,15492.208403514955,TP1,0.1459,14.58
2022-02-16 09:05:00+00:00,long,15474.2,15474.2,SL,0.0,0.0
2022-02-28 10:45:00+00:00,short,14160.5,14217.6,REVERSION,-0.6837,-68.42
