score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,18,1.0,3,50.0
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,18,1.0,4,50.0
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,19,1.0,3,50.0
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,19,1.0,4,50.0
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,20,1.0,3,50.0
6.488609,2.562693,5.441256,0.611111,0.01253,347.023901,54,2.5,18,7,20,1.0,4,50.0
6.449424,2.448905,5.195265,0.615385,0.01253,321.755239,52,2.5,18,7,21,1.0,3,50.0
6.449424,2.448905,5.195265,0.615385,0.01253,321.755239,52,2.5,18,7,21,1.0,4,50.0
6.449424,2.448905,5.195265,0.615385,0.01253,321.755239,52,2.5,18,7,22,1.0,3,50.0
6.449424,2.448905,5.195265,0.615385,0.01253,321.755239,52,2.5,18,7,22,1.0,4,50.0
6.445112,2.481646,4.969405,0.571429,0.006712,555.983332,49,2.5,18,13,26,1.0,3,50.0
6.445112,2.481646,4.969405,0.571429,0.006712,555.983332,49,2.5,18,13,26,1.0,4,50.0
6.323818,2.376925,4.690372,0.565217,0.006737,495.704723,46,2.5,18,13,26,1.0,2,50.0
6.294225,2.262161,4.708229,0.6,0.01259,278.968536,50,2.5,18,7,18,1.0,2,50.0
6.294225,2.262161,4.708229,0.6,0.01259,278.968536,50,2.5,18,7,19,1.0,2,50.0
6.294225,2.262161,4.708229,0.6,0.01259,278.968536,50,2.5,18,7,20,1.0,2,50.0
6.259886,2.291551,4.579479,0.56,0.007859,448.271886,50,2.5,18,13,25,1.0,3,50.0
6.259886,2.291551,4.579479,0.56,0.007859,448.271886,50,2.5,18,13,25,1.0,4,50.0
6.227952,2.205111,4.553877,0.6,0.012613,265.858699,50,2.5,18,7,23,1.0,3,50.0
6.227952,2.205111,4.553877,0.6,0.012613,265.858699,50,2.5,18,7,23,1.0,4,50.0
6.183097,2.155283,4.462493,0.6,0.01253,301.638201,55,2.5,18,8,18,1.0,3,50.0
6.183097,2.155283,4.462493,0.6,0.01253,301.638201,55,2.5,18,8,18,1.0,4,50.0
6.173214,2.143786,4.448846,0.588235,0.013526,248.765417,51,2.5,18,7,25,1.0,3,50.0
6.173214,2.143786,4.448846,0.588235,0.013526,248.765417,51,2.5,18,7,25,1.0,4,50.0
6.173214,2.143786,4.448846,0.588235,0.013526,248.765417,51,2.5,18,7,26,1.0,3,50.0
6.173214,2.143786,4.448846,0.588235,0.013526,248.765417,51,2.5,18,7,26,1.0,4,50.0
6.16973,2.148373,4.423916,0.604167,0.01259,253.818596,48,2.5,18,7,21,1.0,2,50.0
6.16973,2.148373,4.423916,0.604167,0.01259,253.818596,48,2.5,18,7,22,1.0,2,50.0
6.147046,2.186026,4.331947,0.54902,0.007859,430.87538,51,2.5,18,12,26,1.0,4,50.0
6.13545,2.188412,4.288423,0.553191,0.007859,398.384077,47,2.5,18,13,25,1.0,2,50.0
6.135407,2.161609,4.316147,0.56,0.008299,404.747286,50,2.5,18,13,19,1.0,3,50.0
