score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,24,1.0,3,50.0
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,24,1.0,4,50.0
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,25,1.0,3,50.0
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,25,1.0,4,50.0
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,26,1.0,3,50.0
6.54104,2.733329,5.220936,0.5625,0.00642,531.436009,48,2.5,18,9,26,1.0,4,50.0
6.468161,2.568528,4.92392,0.613333,0.014106,468.263419,75,2.5,18,9,24,1.0,4,30.0
6.428068,2.559746,4.83545,0.543478,0.006788,452.335116,46,2.5,18,9,24,1.0,2,50.0
6.428068,2.559746,4.83545,0.543478,0.006788,452.335116,46,2.5,18,9,25,1.0,2,50.0
6.428068,2.559746,4.83545,0.543478,0.006788,452.335116,46,2.5,18,9,26,1.0,2,50.0
6.402822,2.438806,4.86008,0.608108,0.017031,370.613825,74,2.5,18,10,24,1.0,3,30.0
6.402822,2.438806,4.86008,0.608108,0.017031,370.613825,74,2.5,18,10,24,1.0,4,30.0
6.402822,2.438806,4.86008,0.608108,0.017031,370.613825,74,2.5,18,10,25,1.0,3,30.0
6.402822,2.438806,4.86008,0.608108,0.017031,370.613825,74,2.5,18,10,25,1.0,4,30.0
6.388811,2.505332,4.739817,0.6,0.01668,380.043656,75,2.5,18,9,25,1.0,4,30.0
6.386042,2.422558,4.823101,0.608108,0.017043,366.175024,74,2.5,18,10,26,1.0,3,30.0
6.386042,2.422558,4.823101,0.608108,0.017043,366.175024,74,2.5,18,10,26,1.0,4,30.0
6.33511,2.446278,4.628339,0.60274,0.01668,365.134579,73,2.5,18,9,26,1.0,4,30.0
6.312426,2.373088,4.623696,0.631579,0.014144,450.934257,76,2.5,18,8,26,1.0,4,30.0
6.299106,2.407948,4.553043,0.60274,0.014198,417.575234,73,2.5,18,9,24,1.0,3,30.0
6.241461,2.276992,4.515045,0.6,0.017144,326.772649,70,2.5,18,10,24,1.0,2,30.0
6.241461,2.276992,4.515045,0.6,0.017144,326.772649,70,2.5,18,10,25,1.0,2,30.0
6.229799,2.292124,4.462598,0.591837,0.007708,402.733667,49,2.5,18,8,26,1.0,3,50.0
6.229799,2.292124,4.462598,0.591837,0.007708,402.733667,49,2.5,18,8,26,1.0,4,50.0
6.223803,2.260745,4.47514,0.6,0.017156,322.390195,70,2.5,18,10,26,1.0,2,30.0
6.220654,2.31881,4.3998,0.594203,0.014246,389.83706,69,2.5,18,9,24,1.0,2,30.0
