score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.684279,1.741625,3.275917,0.612903,0.02361,156.123815,62,2.5,14,13,18,1.0,2,50.0
5.628333,1.697279,3.139284,0.616667,0.02361,146.788333,60,2.5,14,13,19,1.0,2,50.0
5.52782,1.632084,2.888635,0.6,0.02361,143.943081,65,2.5,14,13,18,1.0,3,50.0
5.52782,1.632084,2.888635,0.6,0.02361,143.943081,65,2.5,14,13,18,1.0,4,50.0
5.472745,1.59109,2.751292,0.603175,0.02361,134.607598,63,2.5,14,13,19,1.0,3,50.0
5.472745,1.59109,2.751292,0.603175,0.02361,134.607598,63,2.5,14,13,19,1.0,4,50.0
5.422216,1.559217,2.619911,0.603448,0.025754,107.926173,58,2.5,14,13,20,1.0,2,50.0
5.420972,1.565609,2.621896,0.576271,0.02979,94.394265,59,2.5,14,12,19,1.0,2,50.0
5.420972,1.565609,2.621896,0.576271,0.02979,94.394265,59,2.5,14,12,20,1.0,2,50.0
5.393831,1.545365,2.546883,0.592593,0.025277,94.02125,54,2.5,14,9,23,1.0,2,50.0
5.36897,1.518193,2.484316,0.615385,0.025354,89.062469,52,2.5,14,8,21,1.0,2,50.0
5.359073,1.521275,2.465949,0.578947,0.02979,86.995346,57,2.5,14,12,21,1.0,2,50.0
5.350602,1.504338,2.439927,0.614035,0.025354,94.764665,57,2.5,14,8,21,1.0,3,50.0
5.350602,1.504338,2.439927,0.614035,0.025354,94.764665,57,2.5,14,8,21,1.0,4,50.0
5.333612,1.505055,2.387591,0.603774,0.025277,87.071777,53,2.5,14,10,23,1.0,2,50.0
5.32762,1.504361,2.38961,0.561404,0.02979,84.172669,57,2.5,14,12,18,1.0,2,50.0
5.299808,1.426293,2.389616,0.55814,0.062658,75.032355,43,1.0,10,7,26,0.5,2,30.0
5.286241,1.418172,2.353866,0.55814,0.062658,73.602987,43,1.0,10,8,24,0.5,2,30.0
