exit_time,direction,entry_price,exit_price,exit_type,pnl_r,pnl_gbp
2021-11-04 10:35:00+00:00,long,16026.7,16038.02404071755,TP1,0.2476,24.76
2021-11-04 11:35:00+00:00,long,16026.7,16040.9,REVERSION,0.3105,31.05
2021-11-04 14:10:00+00:00,long,16043.9,16045.03166994089,TP1,0.0239,2.4
2021-11-04 14:15:00+00:00,long,16043.9,16059.466340092247,TP2,0.3289,33.07
2021-11-08 09:25:00+00:00,long,16049.2,16049.124033860355,TP1,-0.0016,-0.16
2021-11-08 09:30:00+00:00,long,16049.2,16049.2,SL,0.0,0.0
2021-11-09 15:30:00+00:00,short,16041.2,16062.8,REVERSION,-0.6311,-63.69
2021-11-09 16:00:00+00:00,short,16052.2,16057.7,REVERSION,-0.1823,-18.28
2021-11-12 09:50:00+00:00,long,16097.5,16093.7,REVERSION,-0.168,-16.82
2021-11-12 11:20:00+00:00,long,16110.0,16108.416981006709,TP1,-0.0372,-3.72
2021-11-12 11:25:00+00:00,long,16110.0,16110.0,SL,0.0,0.0
2021-11-16 08:50:00+00:00,long,16171.7,16160.1,REVERSION,-0.4421,-44.16
2021-11-16 09:15:00+00:00,long,16170.5,16174.444721818967,TP1,0.0769,7.65
2021-11-16 09:20:00+00:00,long,16170.5,16170.5,SL,0.0,0.0
2021-11-19 11:10:00+00:00,short,16211.6,16193.83568589644,TP1,0.1497,14.9
2021-11-19 11:15:00+00:00,short,16211.6,16211.6,SL,0.0,0.0
2021-11-22 10:20:00+00:00,short,16163.9,16169.576901847024,TP1,-0.0982,-9.79
2021-11-22 10:25:00+00:00,short,16163.9,16163.9,SL,0.0,0.0
2021-11-23 15:55:00+00:00,short,15965.5,15928.700304584649,TP1,0.4059,40.42
2021-11-23 16:15:00+00:00,short,15965.5,15959.7,REVERSION,0.064,6.37
2021-11-24 08:45:00+00:00,short,15952.5,15949.0576738249,TP1,0.0401,4.01
2021-11-24 08:50:00+00:00,short,15952.5,15952.5,SL,0.0,0.0
2021-11-24 09:05:00+00:00,short,15945.9,15946.92752387801,TP1,-0.0126,-1.26
2021-11-24 09:15:00+00:00,short,15945.9,15925.209798390582,TP2,0.2535,25.37
2021-11-25 09:50:00+00:00,long,15945.5,15933.7,REVERSION,-0.4606,-46.21
2021-11-29 15:20:00+00:00,short,15343.2,15359.2,REVERSION,-0.3017,-30.13
2021-11-30 10:35:00+00:00,short,15060.7,15085.9,REVERSION,-0.3242,-32.28
2021-12-02 09:10:00+00:00,long,15329.8,15333.291845391308,TP1,0.0254,2.52
2021-12-02 09:15:00+00:00,long,15329.8,15370.423997006983,TP2,0.2955,29.32
2021-12-02 10:00:00+00:00,long,15332.9,15341.81786196708,TP1,0.0723,7.2
2021-12-02 10:05:00+00:00,long,15332.9,15332.9,SL,0.0,0.0
2021-12-06 09:00:00+00:00,long,15285.6,15299.694496976128,TP1,0.1222,12.18
2021-12-06 09:30:00+00:00,long,15285.6,15285.6,SL,0.0,0.0
2021-12-08 08:45:00+00:00,long,15821.5,15789.7,REVERSION,-0.6443,-64.26
2021-12-08 09:10:00+00:00,long,15808.2,15796.6,REVERSION,-0.2325,-23.04
2021-12-15 11:00:00+00:00,short,15496.7,15504.6,REVERSION,-0.2648,-26.18
2021-12-17 09:10:00+00:00,short,15555.7,15561.622616411245,TP1,-0.0634,-6.25
2021-12-17 09:15:00+00:00,short,15555.7,15543.162633749982,TP2,0.1342,13.23
2021-12-22 10:15:00+00:00,short,15454.0,15449.802286066186,TP1,0.0655,6.46
2021-12-22 10:20:00+00:00,short,15454.0,15454.0,SL,0.0,0.0
2021-12-22 11:10:00+00:00,long,15477.0,15482.204331676587,TP1,0.0914,9.02
2021-12-22 11:15:00+00:00,long,15477.0,15477.0,SL,0.0,0.0
2021-12-23 08:30:00+00:00,long,15643.4,15650.733237104916,TP1,0.111,10.98
2021-12-23 08:35:00+00:00,long,15643.4,15643.4,SL,0.0,0.0
2021-12-23 08:55:00+00:00,long,15643.8,15649.964734714691,TP1,0.085,8.41
2021-12-23 09:00:00+00:00,long,15643.8,15663.372892638925,TP2,0.27,26.72
2021-12-23 10:20:00+00:00,long,15658.6,15660.169926165216,TP1,0.0322,3.2
2021-12-23 10:50:00+00:00,long,15658.6,15676.306752178865,TP2,0.3637,36.11
