score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
5.462994,1.524923,2.811857,0.571429,0.015228,221.921266,56,2.0,10,9,26,0.5,3,30.0
5.462994,1.524923,2.811857,0.571429,0.015228,221.921266,56,2.0,10,9,26,0.5,4,30.0
5.462217,1.529473,2.801209,0.576923,0.012855,253.422935,52,2.0,12,9,26,0.5,2,30.0
5.458262,1.51933,2.798321,0.58,0.016697,252.655914,50,1.5,12,9,25,0.5,2,30.0
5.457894,1.543344,2.783216,0.551724,0.01222,274.239935,58,2.0,14,12,18,0.5,2,30.0
5.451864,1.538166,2.773089,0.54386,0.012567,266.945865,57,2.0,16,12,18,0.5,2,30.0
5.445756,1.585236,2.687136,0.565217,0.0192,161.09666,69,2.5,14,12,20,1.0,3,50.0
5.445756,1.585236,2.687136,0.565217,0.0192,161.09666,69,2.5,14,12,20,1.0,4,50.0
5.445756,1.585236,2.687136,0.565217,0.0192,161.09666,69,2.5,14,12,21,1.0,3,50.0
5.445756,1.585236,2.687136,0.565217,0.0192,161.09666,69,2.5,14,12,21,1.0,4,50.0
5.442296,1.513348,2.754848,0.574468,0.013293,203.163644,47,2.0,10,8,26,0.5,2,30.0
5.442023,1.504094,2.767653,0.568627,0.027393,231.17782,51,1.0,14,9,26,0.5,2,30.0
5.43793,1.546604,2.673915,0.62963,0.017839,128.374922,54,2.5,18,10,21,1.0,2,50.0
5.43528,1.525231,2.725168,0.559322,0.015645,258.205129,59,1.5,10,11,19,0.5,2,30.0
5.433248,1.50172,2.738449,0.574074,0.01525,211.809007,54,2.0,10,9,25,0.5,3,30.0
5.433248,1.50172,2.738449,0.574074,0.01525,211.809007,54,2.0,10,9,25,0.5,4,30.0
5.432644,1.512365,2.725339,0.571429,0.014086,213.616189,56,2.0,10,10,19,0.5,3,30.0
5.432644,1.512365,2.725339,0.571429,0.014086,213.616189,56,2.0,10,10,19,0.5,4,30.0
5.432083,1.513246,2.736228,0.54386,0.024243,268.28508,57,1.0,16,12,18,0.5,2,30.0
5.430475,1.504426,2.723087,0.58,0.012874,241.075846,50,2.0,12,9,25,0.5,2,30.0
5.425086,1.517872,2.700365,0.55814,0.022017,136.714803,43,1.5,10,8,19,0.5,2,30.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,20,1.0,2,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,20,1.0,3,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,20,1.0,4,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,21,1.0,2,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,21,1.0,3,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,21,1.0,4,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,22,1.0,2,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,22,1.0,3,50.0
5.424749,1.530879,2.648324,0.62963,0.018645,121.333938,54,2.5,18,8,22,1.0,4,50.0
5.420289,1.50741,2.69979,0.551724,0.02404,266.579107,58,1.0,14,12,18,0.5,2,30.0
5.420129,1.511596,2.692458,0.555556,0.022063,144.034858,45,1.5,10,9,18,0.5,2,30.0
