score,profit_factor,sharpe_ratio,win_rate,max_drawdown,recovery_factor,total_trades,atr_multiplier,atr_period,ema_fast,ema_slow,max_entry_dist_atr,max_trades_per_day,min_body_pct
6.108191,1.938555,4.457963,0.615385,0.035886,267.636675,52,1.0,10,7,26,0.5,3,30.0
6.106656,1.958188,4.439559,0.596154,0.035886,267.660083,52,1.0,10,9,26,0.5,3,30.0
6.081815,1.928385,4.389602,0.6,0.035886,259.335026,50,1.0,10,9,25,0.5,3,30.0
6.072915,1.900609,4.382338,0.62,0.035886,256.815906,50,1.0,10,8,25,0.5,3,30.0
6.038416,1.866004,4.305214,0.625,0.035886,246.948206,48,1.0,10,8,26,0.5,3,30.0
5.992245,1.874677,4.155618,0.596154,0.036136,254.805044,52,1.0,12,9,26,0.5,3,30.0
5.984874,1.849482,4.150826,0.615385,0.036136,252.775006,52,1.0,12,7,26,0.5,3,30.0
5.984012,1.883336,4.119538,0.59322,0.035886,256.64363,59,1.0,10,12,21,0.5,3,30.0
5.975368,1.878004,4.098473,0.590164,0.035886,261.700714,61,1.0,10,12,23,0.5,3,30.0
5.973522,1.834119,4.134679,0.607843,0.035886,247.613466,51,1.0,10,7,25,0.5,3,30.0
5.965505,1.845398,4.098718,0.6,0.036136,246.275648,50,1.0,12,9,25,0.5,3,30.0
5.947873,1.850074,4.03788,0.59322,0.035886,253.375657,59,1.0,10,12,24,0.5,3,30.0
5.947486,1.8127,4.066804,0.62,0.036136,241.829928,50,1.0,12,8,25,0.5,3,30.0
5.937275,1.816314,4.032429,0.612245,0.036501,238.105308,49,1.0,16,7,26,0.5,3,30.0
5.933621,1.835916,4.007583,0.591837,0.036338,238.284308,49,1.0,14,9,26,0.5,3,30.0
5.929564,1.809104,4.019175,0.604167,0.035886,230.722467,48,1.0,10,7,26,0.5,2,30.0
5.927348,1.82604,4.002447,0.583333,0.035886,230.745875,48,1.0,10,9,26,0.5,2,30.0
5.916611,1.80313,3.978931,0.612245,0.036338,234.451468,49,1.0,14,7,26,0.5,3,30.0
5.909568,1.778091,3.978287,0.625,0.036136,231.531725,48,1.0,12,8,26,0.5,3,30.0
5.908208,1.813992,3.940797,0.607143,0.035886,232.901848,56,1.0,10,10,26,0.5,3,30.0
5.904379,1.805171,3.944024,0.595745,0.036338,229.520409,47,1.0,14,9,25,0.5,3,30.0
5.899716,1.796237,3.943299,0.586957,0.035886,222.420818,46,1.0,10,9,25,0.5,2,30.0
5.895752,1.777456,3.936963,0.617021,0.036501,226.771096,47,1.0,16,8,25,0.5,3,30.0
5.895744,1.779178,3.934928,0.617021,0.036501,227.27318,47,1.0,16,7,26,0.5,2,30.0
5.891565,1.797748,3.909972,0.595745,0.036338,227.404323,47,1.0,14,9,26,0.5,2,30.0
5.890489,1.771157,3.930931,0.608696,0.035886,219.901698,46,1.0,10,8,25,0.5,2,30.0
5.886495,1.796909,3.884904,0.614035,0.035886,231.533407,57,1.0,10,11,24,0.5,3,30.0
5.880849,1.779562,3.900658,0.585366,0.035886,189.917286,41,1.0,10,7,18,0.5,3,30.0
5.879338,1.808894,3.857473,0.59322,0.036136,244.826603,59,1.0,12,12,21,0.5,3,30.0
5.877404,1.806825,3.851806,0.596491,0.035886,234.414413,57,1.0,10,12,18,0.5,3,30.0
5.876809,1.807552,3.852137,0.590164,0.036136,250.587124,61,1.0,12,12,23,0.5,3,30.0
5.876032,1.765028,3.88573,0.617021,0.036338,223.328647,47,1.0,14,8,25,0.5,3,30.0
5.874341,1.76586,3.879123,0.617021,0.036338,223.571483,47,1.0,14,7,26,0.5,2,30.0
5.869963,1.762315,3.873253,0.607843,0.035886,238.623072,51,1.0,10,8,24,0.5,3,30.0
5.861732,1.767004,3.844269,0.6,0.036338,218.640424,45,1.0,14,9,25,0.5,2,30.0
5.86113,1.797836,3.816818,0.578947,0.036631,242.404899,57,1.0,18,12,23,0.5,3,30.0
5.860266,1.765981,3.838689,0.603774,0.035886,239.770598,53,1.0,10,7,26,0.5,4,30.0
5.85808,1.780564,3.823823,0.584906,0.035886,239.794006,53,1.0,10,9,26,0.5,4,30.0
5.853421,1.751988,3.830163,0.607843,0.036136,232.555226,51,1.0,12,7,25,0.5,3,30.0
5.853248,1.74032,3.836008,0.622222,0.036501,215.938968,45,1.0,16,8,25,0.5,2,30.0
5.852609,1.736553,3.842568,0.613636,0.035886,210.033998,44,1.0,10,8,26,0.5,2,30.0
5.851794,1.739506,3.832113,0.622222,0.036501,215.701552,45,1.0,16,8,26,0.5,3,30.0
5.8517,1.79215,3.790581,0.581818,0.036631,234.101888,55,1.0,18,12,21,0.5,3,30.0
5.847957,1.780064,3.786505,0.59322,0.036136,242.057728,59,1.0,12,12,24,0.5,3,30.0
5.833886,1.728378,3.785402,0.622222,0.036338,212.629485,45,1.0,14,8,26,0.5,3,30.0
5.832776,1.727758,3.782423,0.622222,0.036338,212.448662,45,1.0,14,8,25,0.5,2,30.0
5.831422,1.753465,3.764914,0.588235,0.035886,231.46895,51,1.0,10,9,25,0.5,4,30.0
5.830412,1.780406,3.734759,0.578947,0.035886,226.738415,57,1.0,10,12,20,0.5,3,30.0
5.829221,1.765838,3.739013,0.596491,0.035886,222.506079,57,1.0,10,11,22,0.5,3,30.0
5.82795,1.76732,3.740383,0.581818,0.036631,233.133064,55,1.0,18,12,24,0.5,3,30.0
5.827429,1.77481,3.731346,0.578947,0.036501,235.450094,57,1.0,16,12,23,0.5,3,30.0
5.823008,1.731413,3.752792,0.607843,0.035886,228.94983,51,1.0,10,8,25,0.5,4,30.0
5.821668,1.772689,3.710987,0.586207,0.036338,235.208168,58,1.0,14,12,23,0.5,3,30.0
5.82105,1.770834,3.713283,0.581818,0.036501,228.037692,55,1.0,16,12,21,0.5,3,30.0
5.819107,1.770955,3.702932,0.589286,0.036338,228.650328,56,1.0,14,12,21,0.5,3,30.0
5.814306,1.747984,3.716705,0.583333,0.036136,217.897588,48,1.0,12,9,26,0.5,2,30.0
5.81298,1.739229,3.714166,0.6,0.035886,216.372748,50,1.0,10,8,21,0.5,3,30.0
5.808349,1.702369,3.72778,0.627907,0.036501,204.869424,43,1.0,16,8,26,0.5,2,30.0
5.806877,1.72545,3.707816,0.604167,0.036136,215.86755,48,1.0,12,7,26,0.5,2,30.0
5.805751,1.751723,3.678881,0.59322,0.035886,224.060992,59,1.0,10,11,25,0.5,3,30.0
5.799323,1.716127,3.693511,0.604167,0.036501,217.315279,48,1.0,16,7,25,0.5,3,30.0
5.796829,1.737254,3.664762,0.595745,0.035886,198.811299,47,1.0,10,7,22,0.5,3,30.0
5.794962,1.745146,3.656293,0.581818,0.036501,226.435722,55,1.0,16,12,24,0.5,3,30.0
5.792752,1.709769,3.683237,0.595745,0.035886,210.699259,47,1.0,10,7,25,0.5,2,30.0
5.790628,1.733091,3.64325,0.607143,0.036136,218.622938,56,1.0,12,10,26,0.5,3,30.0
5.790431,1.743898,3.638914,0.589286,0.036338,226.444268,56,1.0,14,12,24,0.5,3,30.0
5.789703,1.691107,3.678765,0.627907,0.036338,201.7495,43,1.0,14,8,26,0.5,2,30.0
5.786928,1.699889,3.667102,0.612245,0.035886,219.082129,49,1.0,10,8,26,0.5,4,30.0
5.784625,1.718705,3.650115,0.586957,0.036136,209.368192,46,1.0,12,9,25,0.5,2,30.0
5.784624,1.727999,3.634874,0.595745,0.035886,196.315587,47,1.0,10,8,19,0.5,3,30.0
5.784624,1.727999,3.634874,0.595745,0.035886,196.315587,47,1.0,10,8,20,0.5,3,30.0
5.78331,1.741343,3.614555,0.596491,0.036136,224.381014,57,1.0,12,12,18,0.5,3,30.0
5.782648,1.716354,3.639747,0.6,0.035886,193.175342,45,1.0,10,7,21,0.5,3,30.0
5.782258,1.71073,3.645008,0.6,0.036501,179.021888,40,1.0,16,7,18,0.5,3,30.0
5.780532,1.704638,3.644279,0.604167,0.036338,213.96182,48,1.0,14,7,25,0.5,3,30.0
5.778046,1.738778,3.607335,0.581818,0.035886,214.643979,55,1.0,10,12,19,0.5,3,30.0
5.777886,1.709173,3.632252,0.6,0.036501,219.820888,50,1.0,16,7,26,0.5,4,30.0
5.774828,1.723793,3.606756,0.596491,0.035886,215.735935,57,1.0,10,11,26,0.5,3,30.0
5.771244,1.723303,3.603626,0.58,0.036338,219.656549,50,1.0,14,9,26,0.5,4,30.0
5.770875,1.718161,3.591378,0.614035,0.036136,217.364546,57,1.0,12,11,24,0.5,3,30.0
5.770059,1.703591,3.612672,0.6,0.036338,177.263467,40,1.0,14,7,18,0.5,3,30.0
5.768722,1.732626,3.581892,0.584906,0.036631,216.510855,53,1.0,18,12,18,0.5,3,30.0
5.76556,1.688668,3.610739,0.608696,0.036136,204.922472,46,1.0,12,8,25,0.5,2,30.0
5.757177,1.712042,3.567421,0.584906,0.036136,227.131874,53,1.0,12,9,26,0.5,4,30.0
5.75625,1.680432,3.589316,0.608696,0.036501,206.483152,46,1.0,16,7,25,0.5,2,30.0
5.75522,1.68607,3.579728,0.607843,0.036136,223.135343,51,1.0,12,8,24,0.5,3,30.0
5.755114,1.695896,3.575916,0.591837,0.035886,206.581158,49,1.0,10,8,22,0.5,3,30.0
5.75493,1.694973,3.572297,0.6,0.036338,215.823709,50,1.0,14,7,26,0.5,4,30.0
5.754747,1.685656,3.580234,0.604651,0.035886,184.897037,43,1.0,10,8,18,0.5,3,30.0
5.750419,1.692117,3.558708,0.603774,0.036136,225.101836,53,1.0,12,7,26,0.5,4,30.0
5.748904,1.718511,3.533084,0.583333,0.035886,228.777553,60,1.0,10,12,21,0.5,4,30.0
