bucket,trades,win_rate,expectancy_R,total_R
"(365.999, 1204.0]",142,0.261,0.05,7.09
"(1204.0, 1755.2]",135,0.289,-0.011,-1.544
"(1755.2, 2101.2]",138,0.297,0.121,16.638
"(2101.2, 2267.6]",138,0.275,-0.022,-3.092
"(2267.6, 2754.0]",139,0.338,0.031,4.294
