bucket,trades,win_rate,expectancy_R,total_R
"(-2.81, 0.36]",137,0.372,0.174,23.822
"(0.36, 0.998]",136,0.338,0.056,7.632
"(0.998, 1.245]",136,0.338,0.021,2.868
"(1.245, 1.416]",136,0.36,0.089,12.07
"(1.416, 2.794]",136,0.316,0.023,3.194
