bucket,trades,win_rate,expectancy_R,total_R
"(0.561, 1.101]",137,0.365,0.152,20.822
"(1.101, 1.306]",136,0.316,-0.045,-6.116
"(1.306, 1.495]",136,0.331,0.021,2.922
"(1.495, 1.737]",136,0.36,0.143,19.408
"(1.737, 2.818]",136,0.353,0.092,12.55
