bucket,trades,win_rate,expectancy_R,total_R
"(-3.189, 0.563]",139,0.223,-0.082,-11.408
"(0.563, 0.981]",138,0.268,-0.028,-3.888
"(0.981, 1.249]",138,0.326,0.178,24.61
"(1.249, 1.416]",138,0.304,0.026,3.524
"(1.416, 2.291]",139,0.338,0.076,10.548
