bucket,trades,win_rate,expectancy_R,total_R
"(304.999, 1048.0]",137,0.343,0.106,14.48
"(1048.0, 1278.0]",136,0.39,0.182,24.774
"(1278.0, 1734.0]",138,0.37,0.132,18.204
"(1734.0, 2068.0]",136,0.301,-0.05,-6.846
"(2068.0, 2950.0]",134,0.321,-0.008,-1.026
