bucket,trades,win_rate,expectancy_R,total_R
"(0.734, 1.072]",140,0.25,-0.071,-9.946
"(1.072, 1.207]",139,0.281,-0.051,-7.064
"(1.207, 1.337]",136,0.294,0.035,4.776
"(1.337, 1.492]",138,0.362,0.234,32.302
"(1.492, 2.045]",139,0.273,0.024,3.318
