date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2025-12-05,LONG,2025-12-05 10:00:00-05:00,48074.2,47999.36,48223.89,74.84,149.69,SL,47999.36,-74.84,-1.0,7,35,-76.3,29.5,152.0,1136,1.317,0.929,1.051,1223.3,4
2025-12-08,SHORT,2025-12-08 10:00:00-05:00,47866.7,47952.89,47694.33,86.19,172.37,TP,47694.33,172.37,2.0,12,60,-2.7,177.1,72.3,1118,1.451,0.936,1.184,1194.3,0
2025-12-09,LONG,2025-12-09 10:00:00-05:00,47877.1,47772.06,48087.19,105.04,210.09,SL,47772.06,-105.04,-1.0,27,135,-110.1,52.7,82.9,1159,1.365,0.953,1.234,1215.7,1
2025-12-10,LONG,2025-12-10 10:00:00-05:00,47637.0,47549.23,47812.54,87.77,175.54,TP,47812.54,175.54,2.0,48,240,-46.0,231.3,110.4,1206,1.458,0.98,1.34,1230.7,2
2025-12-11,LONG,2025-12-11 10:00:00-05:00,48239.4,48111.13,48495.94,128.27,256.54,TP,48495.94,256.54,2.0,5,25,-5.7,259.9,99.3,1254,1.423,1.003,1.46,1249.7,3
2025-12-12,SHORT,2025-12-12 10:10:00-05:00,48727.3,48824.13,48533.64,96.83,193.66,TP,48533.64,193.66,2.0,9,45,-49.4,240.5,63.3,1216,1.371,0.984,1.114,1235.7,4
2025-12-15,SHORT,2025-12-15 10:00:00-05:00,48437.5,48522.49,48267.53,84.99,169.97,TP,48267.53,169.97,2.0,34,170,-68.5,175.4,63.9,1232,1.69,0.999,1.474,1233.0,0
2025-12-16,SHORT,2025-12-16 10:00:00-05:00,48279.7,48401.53,48036.04,121.83,243.66,TP,48036.04,243.66,2.0,32,160,-101.8,271.9,188.0,1234,1.212,0.988,1.233,1248.7,1
2025-12-17,LONG,2025-12-17 10:00:00-05:00,48326.0,48217.24,48543.51,108.76,217.51,SL,48217.24,-108.76,-1.0,6,30,-123.5,47.7,89.6,1232,1.367,0.975,1.317,1263.0,2
2025-12-18,LONG,2025-12-18 10:00:00-05:00,48230.2,48094.93,48500.74,135.27,270.54,SL,48094.93,-135.27,-1.0,3,15,-149.0,29.0,215.5,1232,1.233,0.978,1.072,1260.0,3
2025-12-19,LONG,2025-12-19 10:00:00-05:00,48245.5,48127.57,48481.36,117.93,235.86,SL,48127.57,-117.93,-1.0,66,330,-124.8,36.4,146.2,1212,1.381,1.002,1.385,1210.0,4
2025-12-22,LONG,2025-12-22 10:00:00-05:00,48241.0,48142.83,48437.34,98.17,196.34,TP,48437.34,196.34,2.0,34,170,-34.9,201.0,94.5,1188,1.66,0.949,1.29,1251.7,0
2025-12-23,LONG,2025-12-23 10:00:00-05:00,48332.3,48249.11,48498.67,83.19,166.37,TP,48498.67,166.37,2.0,40,200,-26.8,180.6,136.2,1090,1.354,0.943,1.103,1155.7,1
2025-12-24,LONG,2025-12-24 10:00:00-05:00,48543.0,48476.49,48676.03,66.51,133.03,TP,48676.03,133.03,2.0,16,80,-19.8,141.9,60.6,1038,1.757,0.916,1.225,1132.7,2
2025-12-26,LONG,2025-12-26 10:30:00-05:00,48710.3,48626.97,48876.96,83.33,166.66,SL,48626.97,-83.33,-1.0,8,40,-87.6,16.8,53.2,1044,1.244,0.903,0.549,1155.7,4
2025-12-29,SHORT,2025-12-29 10:00:00-05:00,48512.7,48607.19,48323.73,94.49,188.97,TIMEOUT,48440.3,72.4,0.766,72,360,-37.4,138.2,127.4,1150,1.429,0.944,1.155,1217.7,0
2025-12-30,SHORT,2025-12-30 10:00:00-05:00,48400.2,48492.04,48216.51,91.84,183.69,TIMEOUT,48361.5,38.7,0.421,72,360,-33.8,90.9,32.5,1178,1.633,0.985,1.434,1195.3,1
