date,side,entry_time_ny,entry,stop,target,stop_dist,tp_dist,outcome,exit,pnl_pts,R,bars_held,mins_held,mae_pts,mfe_pts,range_w,bo_vol,vol_trail_rel,vol_pm_rel,vol_z,pm_avg_vol,dow
2025-10-31,SHORT,2025-10-31 10:00:00-04:00,25944.3,26004.3,25824.3,60,120.0,SL,26004.3,-60.0,-1.0,6,30,-67.7,1.9,128.7,1258,1.282,1.006,1.456,1251.0,4
2025-11-05,LONG,2025-11-05 10:00:00-05:00,25547.4,25487.4,25667.4,60,120.0,TP,25667.4,120.0,2.0,21,105,-32.3,131.7,191.2,1260,1.246,1.008,1.474,1249.7,2
2025-11-06,SHORT,2025-11-06 10:00:00-05:00,25315.2,25375.2,25195.2,60,120.0,SL,25375.2,-60.0,-1.0,2,10,-71.7,1.8,192.5,1282,1.289,1.007,1.311,1273.3,3
2025-11-10,LONG,2025-11-10 10:00:00-05:00,25546.2,25486.2,25666.2,60,120.0,SL,25486.2,-60.0,-1.0,10,50,-98.9,26.8,109.0,1236,1.391,0.997,1.431,1240.0,0
2025-11-11,SHORT,2025-11-11 10:10:00-05:00,25481.3,25541.3,25361.3,60,120.0,SL,25541.3,-60.0,-1.0,34,170,-68.2,90.9,116.5,1202,1.246,0.971,1.021,1238.0,1
2025-11-12,SHORT,2025-11-12 10:00:00-05:00,25537.9,25597.9,25417.9,60,120.0,TP,25417.9,120.0,2.0,14,70,-34.2,126.8,108.5,1250,1.474,1.001,1.479,1248.3,2
2025-11-13,SHORT,2025-11-13 10:00:00-05:00,25248.6,25308.6,25128.6,60,120.0,SL,25308.6,-60.0,-1.0,1,5,-108.7,0.0,285.7,1272,1.222,0.997,1.364,1276.3,3
2025-11-19,LONG,2025-11-19 10:00:00-05:00,24854.4,24794.4,24974.4,60,120.0,SL,24794.4,-60.0,-1.0,9,45,-61.6,61.2,197.1,1260,1.212,0.987,1.334,1277.0,2
2025-11-24,LONG,2025-11-24 10:00:00-05:00,24671.8,24611.8,24791.8,60,120.0,SL,24611.8,-60.0,-1.0,2,10,-67.5,35.4,211.5,1284,1.253,0.981,1.34,1309.0,0
2025-11-25,SHORT,2025-11-25 10:00:00-05:00,24626.8,24686.8,24506.8,60,120.0,SL,24686.8,-60.0,-1.0,1,5,-106.8,20.2,152.7,1322,1.217,1.028,1.723,1286.0,1
2025-12-01,LONG,2025-12-01 10:00:00-05:00,25307.1,25247.1,25427.1,60,120.0,SL,25247.1,-60.0,-1.0,6,30,-69.0,38.8,131.6,1224,1.25,0.978,1.313,1251.7,0
2025-12-02,LONG,2025-12-02 10:00:00-05:00,25594.4,25534.4,25714.4,60,120.0,SL,25534.4,-60.0,-1.0,5,25,-66.5,19.7,196.4,1198,1.318,0.95,1.192,1260.7,1
2025-12-04,SHORT,2025-12-04 10:00:00-05:00,25531.4,25591.4,25411.4,60,120.0,SL,25591.4,-60.0,-1.0,7,35,-63.8,45.6,128.4,1214,1.261,0.963,1.061,1261.0,3
2025-12-05,LONG,2025-12-05 10:00:00-05:00,25775.4,25715.4,25895.4,60,120.0,SL,25715.4,-60.0,-1.0,11,55,-94.5,56.3,174.3,1224,1.252,0.992,1.242,1234.0,4
2025-12-08,SHORT,2025-12-08 10:05:00-05:00,25727.5,25787.5,25607.5,60,120.0,TP,25607.5,120.0,2.0,11,55,0.0,126.8,70.2,1168,1.359,0.959,1.127,1218.3,0
2025-12-11,SHORT,2025-12-11 10:00:00-05:00,25433.2,25493.2,25313.2,60,120.0,SL,25493.2,-60.0,-1.0,1,5,-86.5,2.3,226.4,1232,1.32,0.961,1.228,1281.3,3
2025-12-12,SHORT,2025-12-12 10:00:00-05:00,25467.3,25527.3,25347.3,60,120.0,TP,25347.3,120.0,2.0,5,25,-12.3,168.6,149.5,1270,1.403,1.018,1.428,1248.0,4
2025-12-15,SHORT,2025-12-15 10:00:00-05:00,25169.1,25229.1,25049.1,60,120.0,TP,25049.1,120.0,2.0,5,25,-55.2,144.2,176.0,1250,1.478,0.99,1.388,1262.0,0
2025-12-17,SHORT,2025-12-17 10:00:00-05:00,25067.1,25127.1,24947.1,60,120.0,TP,24947.1,120.0,2.0,7,35,-33.6,127.9,126.0,1216,1.207,0.952,1.089,1276.7,2
2025-12-19,LONG,2025-12-19 10:00:00-05:00,25329.1,25269.1,25449.1,60,120.0,SL,25269.1,-60.0,-1.0,5,25,-102.6,0.0,118.1,1246,1.304,0.985,1.271,1264.3,4
2025-12-22,SHORT,2025-12-22 10:10:00-05:00,25444.8,25504.8,25324.8,60,120.0,TIMEOUT,25469.9,-25.1,-0.418,70,350,-48.6,45.8,103.6,1212,1.372,0.972,1.092,1247.0,0
2025-12-26,SHORT,2025-12-26 10:10:00-05:00,25621.8,25681.8,25501.8,60,120.0,SL,25681.8,-60.0,-1.0,9,45,-63.7,7.5,79.4,1122,1.418,0.96,1.035,1168.3,4
2026-01-02,SHORT,2026-01-02 10:10:00-05:00,25402.7,25462.7,25282.7,60,120.0,TP,25282.7,120.0,2.0,2,10,-0.1,124.2,117.3,1252,1.346,1.006,1.202,1244.7,4
2026-01-05,LONG,2026-01-05 10:05:00-05:00,25453.4,25393.4,25573.4,60,120.0,SL,25393.4,-60.0,-1.0,38,190,-89.7,59.8,191.0,1242,1.274,0.971,1.107,1279.0,0
2026-01-06,LONG,2026-01-06 10:00:00-05:00,25557.8,25497.8,25677.8,60,120.0,SL,25497.8,-60.0,-1.0,11,55,-72.1,30.4,141.7,1204,1.387,0.979,1.297,1229.7,1
2026-01-07,LONG,2026-01-07 10:00:00-05:00,25654.9,25594.9,25774.9,60,120.0,TP,25774.9,120.0,2.0,21,105,-28.8,120.2,66.7,1212,1.413,1.014,1.475,1195.0,2
