instrument,trades,wins,losses,timeouts,win_rate,tp_rate,sl_rate,expectancy_R,total_R,profit_factor,avg_win_R,avg_loss_R,avg_mins_held,max_dd_R,long_share,stop_method,stop_param,rr
NAS100,398,94,301,3,0.2362,0.2362,0.7563,0.0773,30.77,1.102,3.5,-1.0,43.4,-37.3,0.505,atr,1.0,3.5
NAS100,398,17,81,300,0.0427,0.0427,0.2035,0.077,30.64,1.271,2.0,-1.0,304.8,-7.72,0.505,range_edge,edge+5,2.0
NAS100,398,206,175,17,0.5176,0.5176,0.4397,0.0763,30.38,1.17,1.0,-1.0,55.2,-8.82,0.505,fixed,50,1.0
NAS100,398,157,211,30,0.3945,0.3945,0.5302,0.0761,30.27,1.141,1.5,-1.0,82.4,-13.45,0.505,fixed,50,1.5
NAS100,398,8,81,309,0.0201,0.0201,0.2035,0.0723,28.78,1.254,2.5,-1.0,308.3,-7.72,0.505,range_edge,edge+5,2.5
NAS100,398,4,81,313,0.0101,0.0101,0.2035,0.0708,28.17,1.249,3.0,-1.0,310.4,-7.72,0.505,range_edge,edge+5,3.0
NAS100,398,0,81,317,0.0,0.0,0.2035,0.0703,27.97,1.247,0.0,-1.0,311.3,-7.72,0.505,range_edge,edge+5,3.5
NAS100,398,86,78,234,0.2161,0.2161,0.196,0.0699,27.8,1.256,1.0,-1.0,271.1,-7.85,0.505,range_edge,edge+5,1.0
NAS100,398,167,226,5,0.4196,0.4196,0.5678,0.0668,26.59,1.118,1.5,-1.0,43.9,-12.0,0.505,atr,1.5,1.5
NAS100,398,160,219,19,0.402,0.402,0.5503,0.0599,23.83,1.108,1.5,-1.0,81.0,-12.6,0.505,atr,2.0,1.5
NAS100,398,97,280,21,0.2437,0.2437,0.7035,0.0566,22.54,1.08,3.0,-1.0,57.1,-29.09,0.505,fixed,30,3.0
NAS100,398,200,178,20,0.5025,0.5025,0.4472,0.0548,21.8,1.12,1.0,-1.0,81.3,-11.09,0.505,atr,2.5,1.0
NAS100,398,209,189,0,0.5251,0.5251,0.4749,0.0503,20.0,1.106,1.0,-1.0,26.2,-10.0,0.505,atr,1.5,1.0
NAS100,398,111,270,17,0.2789,0.2789,0.6784,0.0452,18.0,1.067,2.5,-1.0,48.2,-19.0,0.505,fixed,30,2.5
NAS100,398,162,227,9,0.407,0.407,0.5704,0.045,17.9,1.079,1.5,-1.0,31.0,-13.0,0.505,fixed,30,1.5
NAS100,398,134,254,10,0.3367,0.3367,0.6382,0.0434,17.28,1.068,2.0,-1.0,38.9,-14.0,0.505,fixed,30,2.0
NAS100,398,103,293,2,0.2588,0.2588,0.7362,0.0429,17.09,1.058,3.0,-1.0,37.0,-30.8,0.505,atr,1.0,3.0
NAS100,398,203,187,8,0.5101,0.5101,0.4698,0.041,16.33,1.087,1.0,-1.0,51.9,-11.05,0.505,atr,2.0,1.0
NAS100,398,118,279,1,0.2965,0.2965,0.701,0.0407,16.2,1.058,2.5,-1.0,29.6,-28.3,0.505,atr,1.0,2.5
NAS100,398,138,260,0,0.3467,0.3467,0.6533,0.0402,16.0,1.062,2.0,-1.0,23.8,-17.0,0.505,atr,1.0,2.0
NAS100,398,201,187,10,0.505,0.505,0.4698,0.0375,14.92,1.079,1.0,-1.0,36.2,-11.04,0.505,fixed,40,1.0
NAS100,398,165,233,0,0.4146,0.4146,0.5854,0.0364,14.5,1.062,1.5,-1.0,17.3,-21.0,0.505,atr,1.0,1.5
NAS100,398,206,192,0,0.5176,0.5176,0.4824,0.0352,14.0,1.073,1.0,-1.0,11.6,-13.0,0.505,atr,1.0,1.0
NAS100,398,197,196,5,0.495,0.495,0.4925,0.0024,0.94,1.005,1.0,-1.0,21.6,-16.0,0.505,fixed,30,1.0
