instrument,config,trades,win_rate,expectancy_R,total_R,profit_factor,max_dd_R,avg_mins_held,long_share,years_profitable
US30,base 50/2R,493,0.3286,0.0238,11.72,1.037,-26.26,45.4,0.558,3/4
US30,fixed75 / 3.0R,613,0.2039,0.1904,116.7,1.31,-19.61,128.6,0.532,4/4
US30,atr2.0 / 2.0R,613,0.3165,0.1329,81.49,1.232,-15.91,119.3,0.532,4/4
US30,fixed60 / 2.5R,613,0.2855,0.135,82.76,1.211,-38.02,81.9,0.532,3/4
NAS100,base 50/2R,422,0.3104,0.0979,41.3,1.169,-14.51,106.2,0.502,4/4
NAS100,fixed40 / 3.0R,398,0.2462,0.2141,85.23,1.336,-12.0,98.7,0.505,4/4
NAS100,fixed60 / 2.0R,398,0.2965,0.1732,68.92,1.331,-12.87,139.2,0.505,4/4
NAS100,fixed40 / 3.5R,398,0.2085,0.2337,92.99,1.358,-12.08,109.2,0.505,4/4
