bucket,trades,win_rate,expectancy_R,total_R
"(0.382, 0.862]",141,0.369,0.169,23.81
"(0.862, 0.936]",132,0.379,0.163,21.544
"(0.936, 0.975]",138,0.297,-0.102,-14.132
"(0.975, 1.011]",136,0.368,0.139,18.88
"(1.011, 1.632]",134,0.313,-0.004,-0.516
